model,n_obs,n_parameters,log_likelihood,AIC,BIC,deviance,df_resid,delta_AIC,delta_BIC
lags_raw_plus_flipflops,251850,82,-477510.2574369006,955184.5148738011,956040.3151677974,290352.0009221695,251768,0.0,56.55786215828266
lags_raw_plus_flipflops,251850,82,-477510.2574369006,955184.5148738011,956040.3151677974,290352.0009221695,251768,0.0,56.55786215828266
raw_temperature_lags,251850,72,-477544.1614505773,955232.3229011546,955983.7573056391,290419.80894952314,251778,47.80802735348698,0.0
raw_temperature_lags,251850,72,-477544.1614505773,955232.3229011546,955983.7573056391,290419.80894952314,251778,47.80802735348698,0.0
flipflops_plus_temperature,251988,73,-478334.08073041466,956814.1614608293,957576.07244331,291545.0879607236,251915,1629.6465870281681,1592.3151376709575
flipflops_plus_temperature,251988,73,-478334.08073041466,956814.1614608293,957576.07244331,291545.0879607236,251915,1629.6465870281681,1592.3151376709575
raw_temperature,251988,69,-478353.9468215685,956845.893643137,957566.0560786325,291584.8201430312,251919,1661.3787693358026,1582.2987729933811
raw_temperature,251988,69,-478353.9468215685,956845.893643137,957566.0560786325,291584.8201430312,251919,1661.3787693358026,1582.2987729933811
