date,original,annual,seasonal_subannual,semiannual,subseasonal,trend,reconstructed_without_noise,residual
2015-06-10,0.2428921421985805,0.08563288088567798,-0.2019151405594638,0.32902863787747116,-0.2559330873795705,0.1974824492190455,0.15429574004316038,0.08859640215542011
2015-06-11,0.6244308661758224,0.08391047297416979,-0.2778223012697623,0.3172597605282003,0.18617481412436293,0.19683580459690195,0.5063585509538727,0.11807231522194972
2015-06-12,0.6802320670110416,0.08216385402493134,-0.35536725674256303,0.305294416355237,0.5608609174899936,0.1961882968308765,0.7891402279584754,-0.10890816094743383
2015-06-13,0.8523032311045564,0.08039390488134347,-0.4339756452932804,0.2931556956223967,0.7897745753203237,0.19553765173751286,0.9248861822682963,-0.07258295116373992
2015-06-14,0.8015137762438359,0.07860147726761255,-0.5129894724734213,0.2808654411820052,0.8224458401480319,0.19488198392343908,0.8638052700476675,-0.06229149380383159
2015-06-15,0.7890192265212096,0.07678751133747352,-0.5915818888996631,0.2684477461951846,0.6535014141697307,0.1942214488670543,0.60137623166978,0.18764299485142955
2015-06-16,0.2171060817654764,0.07495296607206697,-0.6687868540648421,0.2559264606173344,0.3288108735479908,0.19355685251069327,0.18446029868324332,0.03264578308223309
2015-06-17,-0.3143934244692989,0.07309899516901502,-0.7434518874737587,0.24333130503199457,-0.062436852025812686,0.19289435678283903,-0.29656408251572275,-0.01782934195357616
2015-06-18,-0.7523409015181858,0.07122676754260107,-0.8144085117306948,0.23069195933461828,-0.41166361217327346,0.19224405434874034,-0.7319093426780087,-0.02043155884017711
2015-06-19,-1.20171435559896,0.06933743776677044,-0.8805227543072935,0.21803647494049813,-0.6225508793121344,0.1916132446601758,-1.0240864762519835,-0.17762787934697655
2015-06-20,-1.2366636829925506,0.06743216493156919,-0.9407932277144384,0.205392444598496,-0.6403882729785106,0.19101037159993522,-1.1173465195629486,-0.11931716342960197
2015-06-21,-1.0780344392701282,0.06551195921342186,-0.9944611244813969,0.19278162020295264,-0.46934916680636,0.1904363706575091,-1.0150803412138731,-0.06295409805625507
2015-06-22,-0.5553585117598656,0.06357775938475342,-1.0410578218009219,0.180222401389218,-0.16969366105636052,0.18988985973269937,-0.7770614623506117,0.22170295059074607
2015-06-23,-0.387324784861535,0.06163037961862312,-1.0804317795154672,0.16772766686955423,0.16341551909682578,0.18936350001384522,-0.4982947139166189,0.1109699290550839
2015-06-24,-0.1668100179700463,0.0596707229011692,-1.112661079231996,0.15531266838968383,0.4332615027783876,0.18885433450829775,-0.27556185065445754,0.10875183268441124
2015-06-25,-0.1448270693964801,0.05769966864957164,-1.1380446284209584,0.1429909200540605,0.5726175795582291,0.18836044319934844,-0.17637601695974878,0.031548947563268676
2015-06-26,-0.1967862989783339,0.05571816547275512,-1.1569790300546052,0.13077695495652447,0.5629035611172392,0.1878838268564706,-0.21969652165161574,0.022910222673281827
2015-06-27,-0.5441972087518901,0.05372718675853307,-1.1698391492752402,0.11868463318101494,0.4337391446121719,0.1874260723221056,-0.3762621124014146,-0.16793509635047554
2015-06-28,-0.7813913097555597,0.05172780160582001,-1.1768384126927967,0.10672969384029388,0.24499762494708324,0.1869917254437563,-0.5863915668558431,-0.19499974289971655
2015-06-29,-0.903064723189094,0.049721063270892825,-1.177975026792742,0.09492554588782481,0.05867067721673215,0.18658429106771673,-0.7880734493495754,-0.11499127383951868
2015-06-30,-0.9537867417446808,0.047708001931392297,-1.1729592489936178,0.08328303128157706,-0.08621989794750223,0.18620565238994188,-0.9419824613382087,-0.011804280406472079
2015-07-01,-0.992247486856384,0.04568963341117669,-1.1611920592407856,0.07181122614573761,-0.18562750576799414,0.1858589106805447,-1.043459794771321,0.051212307914936916
2015-07-02,-0.8437775983198557,0.04366697494858144,-1.1417683746505276,0.06051792101500923,-0.26505482656679974,0.18554750846608303,-1.1170907967876538,0.2733131984677981
2015-07-03,-1.0087012933354391,0.04164099010411696,-1.1135781739640669,0.049407804214000796,-0.360295474764977,0.1852743762549325,-1.1975504781559936,0.18884918482055446
2015-07-04,-1.2720046509217806,0.03961272190477252,-1.0753518648163076,0.03848733562082804,-0.49281850667962984,0.18504521941806631,-1.3050250945522706,0.03302044363048995
2015-07-05,-1.543993632970532,0.03758322318128882,-1.02580795276539,0.027762179468350877,-0.65285030724502,0.1848633445292189,-1.4284495128315515,-0.11554412013898041
2015-07-06,-1.5740813573164207,0.035553537202155386,-0.9638523630747504,0.017236598277584683,-0.7974119122427938,0.18473237080181362,-1.5237417690359907,-0.05033958828043006
2015-07-07,-1.790555528337179,0.033524611083538686,-0.8887849176125179,0.00691077431117402,-0.8651101595736348,0.18465533508651616,-1.5288043567049239,-0.26175117163225514
2015-07-08,-1.546428280471275,0.03149741274913926,-0.8003585220050132,-0.00321517310718835,-0.8008745895896034,0.18463529010860233,-1.3883155818440633,-0.15811269862721167
2015-07-09,-1.013398970077399,0.029472737821011837,-0.6989387669750261,-0.013147981083217913,-0.581999655804055,0.1846679206914639,-1.0799457453498233,0.06654677527242425
2015-07-10,-0.5396904328381313,0.02745127375931411,-0.5855542730290272,-0.02289862853719481,-0.23237150986903665,0.18474936342498147,-0.628623774250963,0.08893334141283171
2015-07-11,-0.0281694493647837,0.02543369213186874,-0.46177897958284364,-0.03247923152578538,0.18077894770002514,0.1848740295838532,-0.10317154169288192,0.07500209232809822
2015-07-12,0.6448560606812915,0.023420624972224836,-0.32962537233746647,-0.04190389371785595,0.5662428634391186,0.18503209524766587,0.4031663176036868,0.2416897430776047
2015-07-13,0.948094199926082,0.02141264524500312,-0.19142952700199983,-0.05118904482691268,0.8375309145202584,0.18521296392887657,0.8015379518652256,0.14655624806085643
2015-07-14,0.992512348178079,0.019410437772734556,-0.0496054359471103,-0.0603474150871965,0.940795206830393,0.1854114471858362,1.0356642407546568,-0.04315189257657781
2015-07-15,0.9866559627092204,0.01741475949507944,0.09356744213904644,-0.06938953113913926,0.8704181125140894,0.18562122558253527,1.0976320085916114,-0.11097604588239096
2015-07-16,0.6844443988037331,0.015426394712599333,0.23606465558526657,-0.07832513071531262,0.6677130916253079,0.18583640969078724,1.0267154208986484,-0.34227102209491533
2015-07-17,0.703556470749661,0.013446234814971526,0.376255262529994,-0.08716030594123542,0.40468150428363703,0.18605564920510467,0.8932783448924717,-0.18972187414281072
2015-07-18,0.792208828171067,0.011475085152351697,0.5128942662470874,-0.09590423568895243,0.15821161397653327,0.1862747543034614,0.7729514839904814,0.019257344180585556
2015-07-19,0.9644018247514896,0.009513743636885489,0.6451524780316094,-0.10456652904274454,-0.01379902011519754,0.18648967135977695,0.7227903438703298,0.2416114808811598
2015-07-20,1.0361217497569857,0.007562999192604259,0.7725558955575691,-0.11315733657301333,-0.08752759353711115,0.1866970740980884,0.7661310387381373,0.2699907110188484
2015-07-21,1.1033972293883514,0.005623684961475848,0.8949172815529552,-0.1216855785391391,-0.07497900710065687,0.18689464589941335,0.8907710267740485,0.21262620261430287
2015-07-22,0.9363795002133104,0.0036966565082199097,1.0121967653108321,-0.1301597232852919,-0.01402335096078243,0.18707993446807034,1.058790282041048,-0.12241078182773757
2015-07-23,1.01761929480702,0.0017828658621259848,1.124377533726552,-0.13858522321059996,0.04887036202219272,0.1872526819331678,1.2236982203334383,-0.20607892552641838
2015-07-24,1.141015320405503,-0.00011679501746058872,1.231248387361976,-0.1469695303905822,0.07530353466258145,0.18741053383631948,1.346876130452834,-0.20586081004733114
2015-07-25,1.287253982045226,-0.0020014434759446005,1.3322980032425054,-0.15532006474502852,0.04696320221192499,0.18755082816816257,1.40949052540162,-0.12223654335639389
2015-07-26,1.5369497682469608,-0.0038702140102149845,1.426635123118066,-0.16364428942918138,-0.030947111195352796,0.18766964958688465,1.4158431580702016,0.12110661017675928
2015-07-27,1.5822670322590104,-0.00572229565613086,1.5129458662703843,-0.17195085534164317,-0.1344300751963946,0.1877604228861008,1.3886030629623165,0.19366396929669394
2015-07-28,1.45022907083598,-0.007556845337784695,1.5895455668350136,-0.18024605206642022,-0.2301597144969968,0.18781966071841988,1.3594026156522319,0.0908264551837481
2015-07-29,1.3367959401102083,-0.009372995573721024,1.6544780524972431,-0.18853396519074792,-0.286703906372174,0.18784605878402735,1.3577132441446276,-0.02091730403441927
2015-07-30,1.373232393499907,-0.011169908150963507,1.70563019994682,-0.1968181520952391,-0.2838296348240265,0.18783954990621482,1.4016520547828057,-0.028419661282898856
2015-07-31,1.4470494838306398,-0.012946806217995344,1.740879920324155,-0.20510256800580295,-0.2174421879842883,0.18780156208632057,1.4931899202023888,-0.04614043637174903
2015-08-01,1.6066004982499689,-0.014702934268276888,1.7583018286923164,-0.21339004563623312,-0.09941400800308511,0.18773574222375022,1.6185305830084713,-0.011930084758502435
2015-08-02,1.7192325535256787,-0.016437565584948313,1.7563671741473459,-0.22168306498308732,0.04636329184898459,0.18764295899264202,1.7522527944209372,-0.03302024089525846
2015-08-03,1.811289614134688,-0.018149948226014644,1.734088501139595,-0.22998205563484164,0.19051976395640444,0.18752424614488009,1.8640005073800234,-0.05271089324533551
2015-08-04,1.8378450177041856,-0.019839306012254213,1.6911095739159963,-0.2382856045819658,0.30508484463981467,0.18738058745661013,1.9254500954182012,-0.0876050777140156
2015-08-05,2.0522560791974604,-0.02150482817993089,1.6277539058479746,-0.24659005024329197,0.3693458371105413,0.18721288108873937,1.9162177456240326,0.13603833357342787
2015-08-06,1.9027419395622795,-0.02314575363698847,1.544976856734304,-0.25489236506922114,0.3731522636045128,0.18701929308810214,1.8271102947207092,0.07563164484157037
2015-08-07,1.7126715242482278,-0.024761213937019303,1.4443639943751092,-0.2631845335771799,0.31847514386572395,0.18680081397474363,1.6616942047013776,0.05097731954685014
2015-08-08,1.439729334060564,-0.026350350980945837,1.3279871014609195,-0.2714572554481738,0.2174406701433932,0.18655767284699867,1.4341778380221917,0.005551496038372239
2015-08-09,1.2201282963589737,-0.027912314757956143,1.1982554315712572,-0.27969942920933455,0.08911517541482644,0.1862930081729837,1.1660518711917767,0.05407642516719702
2015-08-10,0.7145471000954003,-0.029446307520015893,1.0577835722742757,-0.28790010351447876,-0.044412787440286566,0.18600845851844264,0.8820328323179369,-0.1674857322225366
2015-08-11,0.4739905577645262,-0.030951477469916347,0.9093193676317073,-0.2960451345978662,-0.1608632656366562,0.18570556183734457,0.6071650517646131,-0.1331744940000869
2015-08-12,0.346977775604991,-0.03242707245575342,0.7555320740642466,-0.30412230471327906,-0.24061304776906778,0.18538616290469778,0.3637558120308442,-0.016778036425853182
2015-08-13,0.2853590401595722,-0.03387238561606547,0.5989686010867726,-0.3121199311649526,-0.26797893481652757,0.18505174193959376,0.17004909142882077,0.11530994873075143
2015-08-14,0.108416329420533,-0.03528673391993793,0.4420341839230848,-0.32002646268129314,-0.23261035219374462,0.18470125244416016,0.03881188757226928,0.06960444184826373
