,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
1,1.0,3.013367376436046e-06,2.8128497578749253e-06,1.7346033983577663e-07,9.411775315423667e-08,1.9866573114574104e-07,2.2125508666805915e-07,5.194114183134311e-07,3.4935510447179786e-07,2.488259904601022e-06,2.498592287597059e-06,2.3543371016100614e-06,3.140986685583957e-06,3.8999360994526175e-06,1.7588650238498503e-06,3.082388826240187e-07,1.002911972437108e-06,3.647969570189352e-07,3.5117932424374684e-07,1.3747263064922586e-07,3.0418210921468885e-07,2.4724739214595284e-07,4.7522981303682927e-07,7.718749250990968e-07,6.458880863389455e-07,8.821129936449405e-07,3.8885505077732266e-07,9.689804364175484e-07,6.786692053317904e-07,4.0649249349075075e-07,1.6069054016542023e-06,3.0903826405066715e-07,4.1979762279375674e-07,6.367057056261558e-06,1.181543166670378e-06,6.014746841386701e-06,1.5824353525109197e-06,8.448400256550745e-07,4.058169114293957e-07,2.073712182107398e-06
2,3.013367376436046e-06,1.0,0.9999992664586621,1.2630296016787506e-05,7.507519760926672e-06,4.763986857859338e-06,2.460937685610356e-06,3.4076561055598806e-06,1.8683278335842122e-06,5.4192298968296096e-05,4.571024088726609e-05,1.0778419720685148e-05,1.1801401459154036e-05,9.874848658256527e-06,8.736128967138051e-06,1.9131183362303696e-06,2.3811978194448943e-06,3.897648794851579e-06,3.160265897168629e-06,1.152398996712712e-06,4.593469863463008e-06,6.937936533665918e-06,5.8918759596991556e-05,0.00018621643556280304,0.00018785905774899782,5.249230800510898e-05,6.726983195486237e-06,4.280130542865131e-05,2.3672267632680184e-05,1.271275139926526e-05,2.1120857930779547e-05,5.192798280899938e-06,4.884408229169287e-06,1.4820228134631988e-05,7.710976111226141e-06,9.169133032091751e-06,9.957739551200154e-06,1.383126612592696e-05,3.5661647509746195e-06,3.648961233417447e-05
3,2.8128497578749253e-06,0.9999992664586621,1.0,5.20703784430394e-06,3.497242039907681e-07,8.244572268989831e-06,5.94402186778448e-06,3.704237824550028e-06,2.4058889921918657e-06,5.846092144198566e-05,4.9878169001840245e-05,1.0873490131904683e-05,1.1929132032955e-05,1.0402524119899097e-05,8.645303325175388e-06,2.0260413464797874e-06,2.5594735283998427e-06,3.6655950159027223e-06,2.784157542897782e-06,5.995177244744886e-06,9.418639728386549e-06,8.583536402433814e-06,5.650476154887916e-05,0.0001671855072742262,0.00016696808608780367,4.714582067047587e-05,4.3536451928340815e-06,3.808512647898525e-05,2.1331609625093346e-05,9.869511299161885e-06,1.774483453930655e-05,4.3134462578292635e-06,4.089518655205585e-06,2.0785999844736446e-05,1.1525908649442164e-05,1.541494997461956e-05,1.4540254907827886e-05,1.548410709942378e-05,8.207668327226495e-06,3.905383786517355e-05
4,1.7346033983577663e-07,1.2630296016787506e-05,5.20703784430394e-06,1.0,0.9962313678467539,0.00016007791580227685,0.0003379880631486137,9.650769612665091e-05,7.048766666655134e-05,8.637104384388164e-06,9.639968746833652e-06,2.6419957901646498e-05,3.8045655596840324e-05,9.098407447117849e-06,2.5426039779553055e-05,0.00016608021262273456,0.00010776590333688604,7.009654424116613e-05,9.460455992926428e-05,2.8429224036779253e-05,3.219350207651955e-05,5.2367139741518136e-05,6.802538833155527e-05,5.2175641739251326e-05,5.4146137508687935e-05,1.685247518654987e-05,7.714002517010887e-05,3.948047654421509e-05,4.854267390978199e-05,8.599434678773548e-05,9.637326489519625e-05,2.618705676361339e-05,3.21152750692534e-05,4.025009871462156e-05,4.6603497308446994e-05,3.30876837526908e-05,4.687267144834811e-05,1.4262643471411178e-05,0.00012256181212642932,0.00015396097977217973
5,9.411775315423667e-08,7.507519760926672e-06,3.497242039907681e-07,0.9962313678467539,1.0,1.6185324222602323e-05,0.00019035554985039532,4.6246230541146094e-05,1.9258013808576564e-05,5.149082844183843e-06,5.8149814401498035e-06,1.3809486499816218e-05,2.7196388072049456e-05,7.004050178672042e-06,1.0565072877487448e-05,8.025838474094759e-05,2.3280203576665536e-05,1.945928067419435e-05,4.585580171119313e-05,2.5979212953104698e-05,2.8735749826653603e-05,7.836873395612273e-06,1.80024019891571e-05,1.9617929516198978e-05,2.975988666875668e-05,1.8470878235429568e-05,3.708709624006402e-05,3.2097236899331255e-05,3.428402477174941e-05,4.3416010580031716e-05,5.4815479803149986e-05,2.49188437912017e-05,3.697485194508316e-05,2.2302454077742103e-05,3.456317812996469e-05,2.3184779262897825e-05,2.846366922656176e-05,1.233493687839335e-05,5.29022491188516e-05,0.0001234714798355798
6,1.9866573114574104e-07,4.763986857859338e-06,8.244572268989831e-06,0.00016007791580227685,1.6185324222602323e-05,1.0,0.9997660967396182,0.6183134769706913,0.615204995722887,0.000669002643339397,0.000634660304479141,0.0002508859064258578,0.00035819193680499404,4.620567961893019e-05,0.00043486881762255574,0.0002079480377669982,8.538782523846624e-05,0.00041214142751573346,0.00041966989762250823,4.630576094159339e-05,6.263502701495322e-05,7.219998069312658e-05,0.00014325036834737887,5.4962171369365265e-05,0.0001613510965492129,5.162183048515925e-05,0.00045247100587371696,0.0001850985965291264,8.09039923103873e-05,0.0004949411414239506,0.00036637011990294806,0.00019605718419474444,0.00040384828348080697,7.272545262265921e-05,7.644248195740816e-05,0.00011957014246384525,5.806843445084377e-05,0.00018567764258038704,0.00012315346990862585,0.00048614499189211726
7,2.2125508666805915e-07,2.460937685610356e-06,5.94402186778448e-06,0.0003379880631486137,0.00019035554985039532,0.9997660967396182,1.0,0.6015492241490823,0.5983841151979195,0.0005983785470268907,0.0005751166259764339,0.00043693778029918506,0.0005437213471803265,0.00017573584459083658,0.0006224485449367376,0.00022961497011257992,9.948065622503109e-05,0.0005013715026807389,0.0005138138885064869,5.464489404263715e-05,7.17485081889196e-05,4.50438866298569e-05,0.00011138263001032959,4.1656414877848184e-05,0.00015187068219779442,4.1463600177025767e-05,0.0005351365848207585,0.0002371040918017076,0.0001829099142287475,0.0005093024707135091,0.0004259751627417929,7.89775431435527e-05,0.00028640737774643604,0.00011206576044014219,0.00012209333974539974,0.00015920995953125624,0.00010086686286957971,0.00017348443110434312,0.0001956178792794249,0.0005713542346385337
8,5.194114183134311e-07,3.4076561055598806e-06,3.704237824550028e-06,9.650769612665091e-05,4.6246230541146094e-05,0.6183134769706913,0.6015492241490823,1.0,0.9999859533479984,0.0022206354717380617,0.001795229402903486,0.000767469430939338,0.0008567401361141636,0.00036439685608431055,0.0007632744875971807,0.00035925654984639743,0.0002785160798232139,0.0008959444650535633,0.0008208568683397792,4.119822232696449e-05,5.0914698272730836e-05,0.0004431037687544855,0.0005919724065977048,0.00023624116046145184,0.0004081971285023139,0.00016072844745834317,0.0016537190764624847,0.0005036879374085853,0.00038190811492487385,0.0020689035304611724,0.0018594110650810053,0.00044148739866476175,0.0006204342490058329,0.0001270908148590581,0.00012849555393707168,0.00012020077113774083,0.00010179042924084073,0.00011467136718198443,4.544006394167189e-05,0.00022680439859705228
9,3.4935510447179786e-07,1.8683278335842122e-06,2.4058889921918657e-06,7.048766666655134e-05,1.9258013808576564e-05,0.615204995722887,0.5983841151979195,0.9999859533479984,1.0,0.0037137509505263937,0.003287495049306404,0.0005249212178319954,0.0006161745084554748,0.00022548949887464417,0.0005268300972146894,0.0002858580951956441,0.00021206885806741775,0.0011610413189732432,0.001083082154703512,9.007391547532455e-05,9.816701958133284e-05,0.0005235782255207698,0.0006924752547782056,0.0003931125568571608,0.0005465790304104743,0.0003930157412501233,0.0015581404667898509,0.0006962029092145884,0.00046376744933202023,0.0019635201113384518,0.001753263723805981,0.0003064299076964465,0.00048543397894960737,0.00011984919370953973,0.00010228530557823257,0.00012066243863671876,8.120609384584828e-05,8.613064348076847e-05,7.123540813108304e-05,0.000212014385786183
10,2.488259904601022e-06,5.4192298968296096e-05,5.846092144198566e-05,8.637104384388164e-06,5.149082844183843e-06,0.000669002643339397,0.0005983785470268907,0.0022206354717380617,0.0037137509505263937,1.0,0.9999916226090706,0.0004363126538121572,0.0007600761284563376,0.0001939854572835895,0.0007751867079015502,0.0003911087874823187,0.0001364345383271563,9.765443165978711e-05,0.00017788355359927538,8.798338693094243e-05,0.00010154724688323235,5.8728531262850644e-05,8.751787487734017e-05,0.00019577483536570701,0.00021334068950468361,0.00031350035296949877,7.57590374137118e-05,9.911668792470317e-05,0.00018290542659653595,0.0002051580282699595,0.0001003462978703202,8.491366948698727e-05,0.00048711029454058714,0.023912193789770084,0.004489640111899586,0.024596981891706414,0.0018507577590450837,0.0010182681793233627,0.0005018666582044217,0.0009188652483865065
