prefecture_code,variable,n_observations,window_length,window_fraction,requested_components,retained_components,retained_trajectory_energy_fraction,reconstruction_rmse,normalized_rmse,time_domain_explained_variance,reconstruction_correlation,residual_std,svd_runtime_seconds
JP-13,t2m_std_anom,5478,2739,0.5,100,100,0.5308595603955749,0.6759238647595014,0.6688226464480714,0.5526803117946524,0.7436892781112573,0.6759208092821393,1.4054155419580638
JP-13,t2m_std_anom,5478,2739,0.5,200,200,0.7385655561732262,0.49933533838130184,0.49408934924949477,0.755928054105625,0.8694488771102834,0.4992818078879601,1.4054155419580638
JP-13,t2m_std_anom,5478,2739,0.5,400,400,0.9161257697584897,0.27464293012611335,0.2717575468659584,0.9261838026405111,0.9623941533464364,0.2745760447265646,1.4054155419580638
JP-13,c2w_event,5478,2739,0.5,100,100,0.14584231401339443,0.0693366581182859,0.9242421180895126,0.145620692396088,0.38254725020488795,0.0693429815112591,1.0699380841106176
JP-13,c2w_event,5478,2739,0.5,200,200,0.25011930205058347,0.0641687799952186,0.8553554605534102,0.26823354075367833,0.519618448292587,0.06417463391604182,1.0699380841106176
JP-13,c2w_event,5478,2739,0.5,400,400,0.4126773646350889,0.05407742797769304,0.7208399990906813,0.4802950222160298,0.7001232140823568,0.05408235423288682,1.0699380841106176
JP-13,w2c_event,5478,2739,0.5,100,100,0.157511519940705,0.07747344430798928,0.9333488581273282,0.1287082598819448,0.35897944827356865,0.07748018735131192,1.1541589999105781
JP-13,w2c_event,5478,2739,0.5,200,200,0.2619541154709475,0.0719790142877884,0.867155596278427,0.247912143332218,0.4982305864763629,0.07198518945742827,1.1541589999105781
JP-13,w2c_event,5478,2739,0.5,400,400,0.42466433770201917,0.06104095498486292,0.7353810862936977,0.4591238650137297,0.6829719573936295,0.061046078878548786,1.1541589999105781
JP-13,c2w_transition_intensity,5478,2739,0.5,100,100,0.1450251438246957,0.17282066370337223,0.9228123756652246,0.14826227725196472,0.3858289318133422,0.17283639514912053,1.4158229590393603
JP-13,c2w_transition_intensity,5478,2739,0.5,200,200,0.24940823641327506,0.1594041515589354,0.851172079997806,0.2753752542574526,0.5266821550153085,0.15941854426518787,1.4158229590393603
JP-13,c2w_transition_intensity,5478,2739,0.5,400,400,0.4126163852650119,0.1347213112334255,0.7193728493337895,0.48240869150408305,0.7013084907056294,0.13473354788019426,1.4158229590393603
JP-13,w2c_transition_intensity,5478,2739,0.5,100,100,0.15620642867704024,0.20329383568007206,0.9340867647120619,0.1273302503566902,0.3570635241109084,0.20331150370844484,1.1139655411243439
JP-13,w2c_transition_intensity,5478,2739,0.5,200,200,0.25972243838306475,0.18886148384872214,0.8677735448142029,0.2468402681816334,0.49718617853244174,0.1888776356366862,1.1139655411243439
JP-13,w2c_transition_intensity,5478,2739,0.5,400,400,0.42033000673216164,0.15910763900216082,0.7310617130092923,0.4654581360708743,0.6887937049318821,0.15912112968222497,1.1139655411243439
JP-13,rh,5478,2739,0.5,100,100,0.9898762170162332,0.0779074636945124,0.7260900234076388,0.4727005079293163,0.6877662022680803,0.07791431788995165,1.1676734590437263
JP-13,rh,5478,2739,0.5,200,200,0.9916091882051733,0.07057328771484425,0.6577362129224942,0.56730637958393,0.7533627981151579,0.0705795430781344,1.1676734590437263
JP-13,rh,5478,2739,0.5,400,400,0.9938913658333308,0.058198103041781316,0.542400689176378,0.7057527129315467,0.8408242658331713,0.058202927596778746,1.1676734590437263
JP-13,tp,5478,2739,0.5,100,100,0.4070689203659813,20.487339947791853,0.8808018480995702,0.22404839292062462,0.47419030975499304,20.489184587849508,1.2697354999836534
JP-13,tp,5478,2739,0.5,200,200,0.5076748567613204,18.357945558105246,0.789253871712769,0.37696477305571674,0.6159503201904044,18.359618724744266,1.2697354999836534
JP-13,tp,5478,2739,0.5,400,400,0.6451349088373742,14.878677705867048,0.6396714680383901,0.5907468092563684,0.7727286480257894,14.880015843004541,1.2697354999836534
JP-13,nw_wind,5478,2739,0.5,100,100,0.3846390165308451,1.0943816770375325,0.7930841529287771,0.37091101634559187,0.6090254383704505,1.094474332789796,1.107937625143677
JP-13,nw_wind,5478,2739,0.5,200,200,0.4671129487970177,1.0174568516807783,0.7373377335238008,0.45625369575408914,0.6754785148849816,1.017531119199117,1.107937625143677
JP-13,nw_wind,5478,2739,0.5,400,400,0.5867217786366203,0.8585472260167403,0.6221779967460894,0.6128238768211648,0.7844526445767348,0.8586255835026239,1.107937625143677
