prefecture_code,variable,n_observations,window_length,number_of_windows,window_fraction,number_of_retained_components,retained_trajectory_energy_fraction,reconstruction_rmse,reconstruction_correlation
JP-13,cases,5478,2739,2740,0.5,100,0.956119801625137,4.468670487739462,0.7924159836747884
JP-13,incidence_per_100k,5478,2739,2740,0.5,100,0.9559895463236869,0.0338617544625309,0.7855319334851483
JP-13,t2m,5478,2739,2740,0.5,100,0.9847555075345977,1.9285052549855015,0.971876632268261
JP-13,t2m_std_anom,5478,2739,2740,0.5,100,0.5277969315209038,0.6676555791729102,0.7518637704165771
JP-13,c2w_event,5478,2739,2740,0.5,100,0.1411839293441494,0.06827538923019175,0.4329771881112474
JP-13,w2c_event,5478,2739,2740,0.5,100,0.15313432631371476,0.07642736667093103,0.3955654854217208
JP-13,c2w_transition_intensity,5478,2739,2740,0.5,100,0.14029911471968592,0.1700483344517899,0.4386659333001828
JP-13,w2c_transition_intensity,5478,2739,2740,0.5,100,0.15186032504236208,0.20053627992133077,0.39386270013488545
JP-13,ah,5478,2739,2740,0.5,100,0.9850727899442745,1.4294504905281924,0.9684423663055131
JP-13,rh,5478,2739,2740,0.5,100,0.9898355068495217,0.07726150777320924,0.6946858371012445
JP-13,tp,5478,2739,2740,0.5,100,0.40407743862331247,20.17318107125979,0.5054654656158003
JP-13,nw_wind,5478,2739,2740,0.5,100,0.38161036653594266,1.0817284696919354,0.621641015044067
