prefecture_code,year,population
JP-05,1990,1227033.0
JP-05,1991,1223616.8
JP-05,1992,1218900.6
JP-05,1993,1216184.4
JP-05,1994,1215468.2
JP-05,1995,1213458.0
JP-05,1996,1209402.6
JP-05,1997,1208053.2
JP-05,1998,1202703.8
JP-05,1999,1196354.4
JP-05,2000,1188999.0
JP-05,2001,1186809.6
JP-05,2002,1177614.2
JP-05,2003,1170418.8
JP-05,2004,1162223.4
JP-05,2005,1144798.0
JP-05,2006,1131809.8
JP-05,2007,1123591.6
JP-05,2008,1106373.4
JP-05,2009,1097155.2
JP-05,2010,1083739.0
JP-05,2011,1074562.8
JP-05,2012,1060188.6
JP-05,2013,1044814.4
JP-05,2014,1035440.2
JP-05,2015,1014022.0
JP-05,2016,1006727.8
JP-05,2017,991389.6
JP-05,2018,975051.4
JP-05,2019,963713.2
JP-05,2020,950192.0
JP-06,1975,1220184.0
JP-06,1976,1224823.8
JP-06,1977,1233514.6
JP-06,1978,1236205.4
JP-06,1979,1242896.2
JP-06,1980,1251903.0
JP-06,1981,1255152.0
JP-06,1982,1252923.0
JP-06,1983,1255694.0
JP-06,1984,1256465.0
JP-06,1985,1261590.0
JP-06,1986,1262259.8
JP-06,1987,1260283.6
JP-06,1988,1264307.4
JP-06,1989,1260331.2
JP-06,1990,1257568.0
JP-06,1991,1256741.4
JP-06,1992,1257127.8
JP-06,1993,1254514.2
JP-06,1994,1251900.6
JP-06,1995,1256595.0
JP-06,1996,1254713.6
JP-06,1997,1256140.2
JP-06,1998,1253566.8
JP-06,1999,1250993.4
JP-06,2000,1243759.0
JP-06,2001,1241665.0
JP-06,2002,1235910.0
JP-06,2003,1232155.0
JP-06,2004,1225400.0
JP-06,2005,1215315.0
JP-06,2006,1206542.4
JP-06,2007,1197439.8
JP-06,2008,1191337.2
JP-06,2009,1176234.6
JP-06,2010,1165114.0
JP-06,2011,1160137.6
JP-06,2012,1150143.2
JP-06,2013,1139148.8
JP-06,2014,1127154.4
JP-06,2015,1118804.0
JP-06,2016,1113085.0
JP-06,2017,1098010.0
JP-06,2018,1087935.0
JP-06,2019,1076860.0
JP-06,2020,1057583.0
JP-07,1975,1970416.0
JP-07,1976,1982820.4
JP-07,1977,1993288.8
JP-07,1978,2004757.2
