component,singular_value,trajectory_energy_fraction,cumulative_trajectory_energy_fraction,dominant_period_days,dominant_spectral_power,provisional_period_label
1,424.68261076171063,0.022880178991990345,0.022880178991990345,342.375,0.011499417212330191,annual
2,423.88200719818184,0.022793993751325257,0.0456741727433156,342.375,0.011528811522970965,annual
3,330.28818440494075,0.01383937686536214,0.059513549608677746,71.14285714285714,0.006899754989457607,seasonal_subannual
4,330.10893402179676,0.013824359431679431,0.07333790904035718,71.14285714285714,0.00684683242317643,seasonal_subannual
5,300.46582582987634,0.011453036053993499,0.08479094509435069,99.6,0.00485350431480729,seasonal_subannual
6,298.72054951688983,0.011320370985815602,0.09611131608016629,99.6,0.005303685673292835,seasonal_subannual
7,278.9695371592951,0.009872883771606953,0.10598419985177325,5478.0,0.0012040581242548523,trend_or_low_frequency
8,278.1572283262096,0.009815471377199618,0.11579967122897286,5478.0,0.0032324249172548235,trend_or_low_frequency
9,258.7134077289923,0.008491185593554747,0.1242908568225276,195.64285714285714,0.0023329849933659513,semiannual
10,257.15587381303413,0.008389254275357605,0.13268011109788522,195.64285714285714,0.003262673722504106,semiannual
11,256.8752047411178,0.008370951607584737,0.14105106270546997,304.3333333333333,0.00038458333398951576,annual
12,249.64082139759017,0.007906088405487137,0.14895715111095711,161.1176470588235,0.0021300932911722296,semiannual
13,249.28401138830682,0.007883504314764766,0.15684065542572187,161.1176470588235,0.0022132487636600776,semiannual
14,240.49046281636004,0.007337129371513767,0.16417778479723563,29.294117647058822,0.0005294420159071641,subseasonal
15,238.5369342541562,0.007218413009717367,0.171396197806953,29.294117647058822,0.002281762109736308,subseasonal
16,237.71329005853272,0.007168650153891815,0.17856484796084482,29.294117647058822,0.00058043057200957,subseasonal
17,230.86771655621436,0.006761715214941719,0.18532656317578655,62.96551724137931,0.002111763303969639,seasonal_subannual
18,230.06347559155654,0.0067146876220750724,0.19204125079786163,62.96551724137931,0.0017073758754586174,seasonal_subannual
19,227.4758688746685,0.006564492033895624,0.19860574283175725,152.16666666666666,0.0014060098564033744,semiannual
20,226.56825027460928,0.006512212476402825,0.20511795530816007,152.16666666666666,0.0013070124273614218,semiannual
21,224.9338090468633,0.006418594444991699,0.21153654975315178,913.0,0.0013679788866628835,interannual
22,222.4184323608892,0.006275842146552571,0.21781239189970436,50.25688073394495,0.0016030934696727355,seasonal_subannual
23,222.33187476117507,0.006270958413446426,0.2240833503131508,30.265193370165743,0.0008273333483684758,seasonal_subannual
24,222.12606607188184,0.0062593539560823995,0.2303427042692332,30.265193370165743,0.001419886141189454,seasonal_subannual
25,221.97310185724078,0.006250736079677409,0.2365934403489106,50.25688073394495,0.0007001690449424562,seasonal_subannual
26,220.17684735391458,0.006149980777478711,0.24274342112638933,913.0,0.0011537705226191302,interannual
27,208.92114034617285,0.005537264076664481,0.24828068520305382,304.3333333333333,0.00024009498393853945,annual
28,207.73323905975067,0.005474474614333944,0.2537551598173878,304.3333333333333,0.0005092916615919148,annual
29,204.5263673078057,0.005306755393204345,0.25906191521059213,22.825,0.0007670200777414038,subseasonal
30,204.22642338629586,0.00529120178136056,0.2643531169919527,22.825,0.0008096865795169837,subseasonal
31,202.3084140861069,0.005192282959081006,0.2695453999510337,28.092307692307692,0.0007564883332069353,subseasonal
32,202.15678937975733,0.0051845029232328544,0.2747299028742666,28.092307692307692,0.0007102617422512155,subseasonal
33,196.04682163742334,0.004875847031087078,0.27960574990535364,20.908396946564885,0.0005271142823920891,subseasonal
34,195.96993641405976,0.0048720233824810204,0.28447777328783463,20.908396946564885,0.0008267435121219929,subseasonal
35,195.70137000011667,0.004858678832969086,0.2893364521208037,20.908396946564885,0.00017902153515388986,subseasonal
36,194.29501104002344,0.004789098384749552,0.2941255505055533,38.041666666666664,0.0018120785396903505,seasonal_subannual
37,194.0238165480116,0.004775738590399069,0.29890128909595237,38.041666666666664,0.0011661415114244578,seasonal_subannual
38,193.9609128466361,0.004772642445380973,0.3036739315413333,133.60975609756096,0.00011355659151698819,seasonal_subannual
39,191.65343967695227,0.004659761585147025,0.30833369312648035,547.8,0.00021380030531181106,interannual
40,190.47139213215468,0.004602459468237603,0.31293615259471796,32.41420118343195,0.00044230051680331094,seasonal_subannual
41,190.3560165079933,0.004596885394345351,0.3175330379890633,32.41420118343195,0.000608200219040446,seasonal_subannual
42,190.18593727987212,0.0045886746169056915,0.322121712605969,17.2807570977918,0.0005591761592872223,subseasonal
43,190.09745010055855,0.0045844056954358415,0.32670611830140484,17.2807570977918,0.0013586315554938856,subseasonal
44,189.93359233790596,0.004576505887109239,0.33128262418851406,497.99999999999994,7.189095628196063e-05,interannual
45,189.33483123013016,0.004547696718174223,0.3358303209066883,133.60975609756096,6.928516569158185e-05,seasonal_subannual
46,184.945699996049,0.004339292615595256,0.34016961352228353,20.13970588235294,0.0002115219553846216,subseasonal
47,184.72890781963667,0.004329125595388919,0.3444987391176724,20.13970588235294,0.0013054471803966522,subseasonal
