target_variable,frequency_band,selected_candidate,feature_name,importance_mean_rmse_increase,importance_std,importance_rows
cases,subseasonal,shallow,rh_lagged,-0.00012786185927786685,6.024532880700091e-05,16790
cases,subseasonal,shallow,tp_lagged,-0.00047007563014505037,8.78315846057645e-05,16790
cases,subseasonal,shallow,nw_wind_lagged,0.0004004791512302264,0.00014106795669545656,16790
cases,subseasonal,shallow,prefecture_code,0.0002290552388700462,0.00041367694760111403,16790
cases,high_frequency,shallow,t2m_lagged,0.00050599558526363,0.00017291388528949968,16790
cases,high_frequency,shallow,t2m_std_anom_lagged,-2.0508712862676858e-05,1.541812218290229e-05,16790
cases,high_frequency,shallow,c2w_event_lagged,0.0001956945923071718,0.00014370943538499176,16790
cases,high_frequency,shallow,w2c_event_lagged,0.00011815406151431951,0.0002008392989022371,16790
cases,high_frequency,shallow,c2w_transition_intensity_lagged,-1.304493588678568e-05,6.478507743130042e-05,16790
cases,high_frequency,shallow,w2c_transition_intensity_lagged,-0.0001197505112353614,0.00022708891182790235,16790
cases,high_frequency,shallow,ah_lagged,-7.245645407820689e-05,0.0001329023436060048,16790
cases,high_frequency,shallow,rh_lagged,-0.00020937653127428568,0.000300930070950058,16790
cases,high_frequency,shallow,tp_lagged,-0.00023839371219600559,0.00010821633832348974,16790
cases,high_frequency,shallow,nw_wind_lagged,0.00017500708896727167,0.0001979776745770893,16790
cases,high_frequency,shallow,prefecture_code,0.00020417907064134154,8.391435592670111e-05,16790
incidence_per_100k,trend,regularized,t2m_lagged,0.0006825008180698707,9.77491772856912e-06,16790
incidence_per_100k,trend,regularized,t2m_std_anom_lagged,0.0007915292624528503,1.599822114410367e-05,16790
incidence_per_100k,trend,regularized,c2w_event_lagged,0.005562722925729735,9.117690302430962e-05,16790
incidence_per_100k,trend,regularized,w2c_event_lagged,0.0030773721484304126,2.320774284711331e-05,16790
incidence_per_100k,trend,regularized,c2w_transition_intensity_lagged,0.004701837581679954,7.756738282703591e-05,16790
incidence_per_100k,trend,regularized,w2c_transition_intensity_lagged,0.0008304630523612692,8.27430198425292e-06,16790
incidence_per_100k,trend,regularized,ah_lagged,0.00036122883326272055,2.1615791684249526e-06,16790
incidence_per_100k,trend,regularized,rh_lagged,0.003999570514277389,8.51637412520136e-05,16790
incidence_per_100k,trend,regularized,tp_lagged,0.005195989098953515,6.650930951480168e-05,16790
incidence_per_100k,trend,regularized,nw_wind_lagged,0.004798652641651505,7.351823400742982e-05,16790
incidence_per_100k,trend,regularized,prefecture_code,0.041395487180749785,0.00018607595391209405,16790
incidence_per_100k,interannual,shallow,t2m_lagged,0.0004926418201569363,1.1729791830637762e-05,14965
incidence_per_100k,interannual,shallow,t2m_std_anom_lagged,-7.633312428225008e-05,9.439782209151821e-06,14965
incidence_per_100k,interannual,shallow,c2w_event_lagged,-1.2908060386450371e-05,2.15112004378457e-06,14965
incidence_per_100k,interannual,shallow,w2c_event_lagged,4.605237858432802e-05,4.825822331861086e-06,14965
incidence_per_100k,interannual,shallow,c2w_transition_intensity_lagged,0.00011652365530108975,6.3431459746987145e-06,14965
incidence_per_100k,interannual,shallow,w2c_transition_intensity_lagged,1.9991967441834734e-05,1.997349568080654e-06,14965
incidence_per_100k,interannual,shallow,ah_lagged,0.0003700349979727277,8.06879722949763e-05,14965
incidence_per_100k,interannual,shallow,rh_lagged,0.0010005106854748165,4.525368797552838e-05,14965
incidence_per_100k,interannual,shallow,tp_lagged,-2.428032424938477e-05,6.750315005322689e-06,14965
incidence_per_100k,interannual,shallow,nw_wind_lagged,-0.0005032167962051922,3.659989397514777e-05,14965
incidence_per_100k,interannual,shallow,prefecture_code,0.0002953870370362967,1.7173042660875476e-05,14965
incidence_per_100k,annual,medium,t2m_lagged,0.012858403317912936,6.135097326393957e-05,16790
incidence_per_100k,annual,medium,t2m_std_anom_lagged,8.858367789538155e-05,1.2755535321237465e-05,16790
incidence_per_100k,annual,medium,c2w_event_lagged,0.00016104651188816356,3.801803309470546e-06,16790
incidence_per_100k,annual,medium,w2c_event_lagged,2.6746323429967593e-05,4.203304549041694e-06,16790
incidence_per_100k,annual,medium,c2w_transition_intensity_lagged,0.0001585419419907551,1.8555012542870232e-06,16790
incidence_per_100k,annual,medium,w2c_transition_intensity_lagged,1.84166696697078e-05,1.9425440768164994e-06,16790
incidence_per_100k,annual,medium,ah_lagged,0.007114985249824972,6.499562560090811e-05,16790
incidence_per_100k,annual,medium,rh_lagged,0.00022145117200926233,3.765360319144335e-05,16790
incidence_per_100k,annual,medium,tp_lagged,0.0020103812044718677,1.0725328709582524e-05,16790
incidence_per_100k,annual,medium,nw_wind_lagged,0.029711372391282624,0.000143579006404245,16790
incidence_per_100k,annual,medium,prefecture_code,0.0077250852059880856,1.792115188151765e-05,16790
incidence_per_100k,semiannual,medium,t2m_lagged,0.004782746571143504,2.1565189964461802e-05,16790
incidence_per_100k,semiannual,medium,t2m_std_anom_lagged,0.0001216571421449689,1.176231236950376e-05,16790
incidence_per_100k,semiannual,medium,c2w_event_lagged,-6.459240518110962e-07,6.47375237054552e-07,16790
incidence_per_100k,semiannual,medium,w2c_event_lagged,6.656880652062234e-06,1.2399577989773028e-06,16790
incidence_per_100k,semiannual,medium,c2w_transition_intensity_lagged,9.97766466126846e-06,7.341997278548949e-07,16790
incidence_per_100k,semiannual,medium,w2c_transition_intensity_lagged,3.0298584470790995e-06,5.506677799009563e-07,16790
incidence_per_100k,semiannual,medium,ah_lagged,0.0003223296566938471,6.345494883784004e-06,16790
incidence_per_100k,semiannual,medium,rh_lagged,0.0006493330475476827,9.105790379547083e-06,16790
incidence_per_100k,semiannual,medium,tp_lagged,0.0005188045975825199,4.377933706926742e-06,16790
incidence_per_100k,semiannual,medium,nw_wind_lagged,0.0020803682044757367,1.7708938629841597e-05,16790
incidence_per_100k,semiannual,medium,prefecture_code,0.002326094023424557,2.889231656736502e-05,16790
incidence_per_100k,seasonal_subannual,shallow,t2m_lagged,-2.3735497264489035e-05,2.449537075746642e-06,16790
incidence_per_100k,seasonal_subannual,shallow,t2m_std_anom_lagged,-5.605839557259844e-05,6.472111943259048e-06,16790
incidence_per_100k,seasonal_subannual,shallow,c2w_event_lagged,-7.338844165768674e-06,2.2180745158728407e-06,16790
incidence_per_100k,seasonal_subannual,shallow,w2c_event_lagged,-6.74095696891891e-06,2.357036932240381e-06,16790
incidence_per_100k,seasonal_subannual,shallow,c2w_transition_intensity_lagged,-3.2867344262013655e-06,1.7256331121236159e-06,16790
incidence_per_100k,seasonal_subannual,shallow,w2c_transition_intensity_lagged,-1.638493968884186e-06,8.101721618317727e-07,16790
incidence_per_100k,seasonal_subannual,shallow,ah_lagged,0.00016831927051430342,8.144043621926933e-06,16790
incidence_per_100k,seasonal_subannual,shallow,rh_lagged,7.82566764030955e-06,7.337964162427297e-06,16790
incidence_per_100k,seasonal_subannual,shallow,tp_lagged,3.275628100231354e-06,2.1866848500527554e-06,16790
incidence_per_100k,seasonal_subannual,shallow,nw_wind_lagged,-3.711018258435693e-05,9.281142177095856e-06,16790
incidence_per_100k,seasonal_subannual,shallow,prefecture_code,0.0001259207806152015,1.149108703754105e-05,16790
incidence_per_100k,subseasonal,shallow,t2m_lagged,1.0947955964693556e-06,9.2855806656236e-07,16790
incidence_per_100k,subseasonal,shallow,t2m_std_anom_lagged,1.1186410614461018e-05,2.6724813214784946e-06,16790
incidence_per_100k,subseasonal,shallow,c2w_event_lagged,-3.848922839982255e-06,2.128384286502253e-06,16790
incidence_per_100k,subseasonal,shallow,w2c_event_lagged,-4.8336513071955965e-06,7.053483675375564e-07,16790
incidence_per_100k,subseasonal,shallow,c2w_transition_intensity_lagged,-9.569676319709508e-07,8.766110823726453e-07,16790
incidence_per_100k,subseasonal,shallow,w2c_transition_intensity_lagged,-1.148061248922444e-05,5.826938441974839e-06,16790
incidence_per_100k,subseasonal,shallow,ah_lagged,-1.0872563278200437e-05,2.1137961129235364e-06,16790
incidence_per_100k,subseasonal,shallow,rh_lagged,-6.703660243201348e-06,2.0167966407434755e-06,16790
incidence_per_100k,subseasonal,shallow,tp_lagged,-2.5251024319807025e-05,7.610645226703555e-06,16790
incidence_per_100k,subseasonal,shallow,nw_wind_lagged,1.0033309437061654e-05,2.5897112140455667e-06,16790
incidence_per_100k,subseasonal,shallow,prefecture_code,-1.2894838149220268e-05,5.031330552452923e-06,16790
incidence_per_100k,high_frequency,shallow,t2m_lagged,-1.1052876810921375e-05,4.086573721605735e-06,16790
incidence_per_100k,high_frequency,shallow,t2m_std_anom_lagged,2.9341822605902234e-06,1.7966269348810125e-06,16790
incidence_per_100k,high_frequency,shallow,c2w_event_lagged,-7.48198102953207e-06,1.142281240150092e-05,16790
incidence_per_100k,high_frequency,shallow,w2c_event_lagged,6.128648887002152e-06,3.303340932679081e-06,16790
incidence_per_100k,high_frequency,shallow,c2w_transition_intensity_lagged,-1.9659501967750347e-07,4.714685644686571e-06,16790
incidence_per_100k,high_frequency,shallow,w2c_transition_intensity_lagged,-4.174078020306727e-06,5.049331158340242e-06,16790
incidence_per_100k,high_frequency,shallow,ah_lagged,3.8860803456775e-06,3.977771619078433e-06,16790
incidence_per_100k,high_frequency,shallow,rh_lagged,1.4261385104075153e-06,2.8570316527691546e-06,16790
incidence_per_100k,high_frequency,shallow,tp_lagged,-2.960917547023545e-06,6.28740662057669e-06,16790
incidence_per_100k,high_frequency,shallow,nw_wind_lagged,9.849847900877951e-06,1.2885364050314121e-05,16790
incidence_per_100k,high_frequency,shallow,prefecture_code,7.585568195767056e-06,1.149991815745489e-05,16790
