date,original,high_frequency,seasonal_subannual,subseasonal,trend,reconstructed_without_noise,residual
2005-01-01,0.0,-3.87784006282913e-17,-2.506645188593113e-18,-2.13688637725108e-17,-4.994257938421818e-18,-6.764816752781703e-17,6.764816752781703e-17
2005-01-02,0.0,1.6833704686891754e-17,4.2196755524969945e-19,-6.925106876626287e-18,-5.538398992322666e-18,4.7921663731925e-18,-4.7921663731925e-18
2005-01-03,0.0,-5.87483100608642e-18,1.2671318508800682e-21,2.2757294977389267e-19,-5.814143480117113e-18,-1.1460134404578761e-17,1.1460134404578761e-17
2005-01-04,0.0,7.152189160513666e-18,5.228043419563628e-19,-4.931265827809093e-20,-5.21914166431146e-18,2.4065391798804775e-18,-2.4065391798804775e-18
2005-01-05,0.0,-5.414921449811053e-18,-6.127924294131902e-19,-1.0231115831126631e-18,-4.772263376310528e-18,-1.1823088838647433e-17,1.1823088838647433e-17
2005-01-06,0.0,-3.534556526231949e-18,1.9082957931777387e-21,-4.1279383405181394e-19,-4.922092577761472e-18,-8.867534642252057e-18,8.867534642252057e-18
2005-01-07,0.0,5.028868253313651e-18,-7.501818009716036e-19,2.1071839474505e-18,-5.4179112524099544e-18,9.67959147382593e-19,-9.67959147382593e-19
2005-01-08,0.0,-7.757069427629265e-19,2.480375043764115e-20,1.6368554771266465e-18,-5.5766139594123655e-18,-4.6906616746110044e-18,4.6906616746110044e-18
2005-01-09,0.0,1.8714560398453327e-18,-4.3259974992348486e-19,5.163627244092466e-19,-1.1082669406844845e-18,8.4695207364661e-19,-8.4695207364661e-19
2005-01-10,0.0,-6.080517510529604e-18,6.868612815284041e-19,-9.765935926462644e-19,2.1181916722372595e-18,-4.252058149410204e-18,4.252058149410204e-18
2005-01-11,0.0,3.9991518954462865e-19,-2.7363205494479107e-19,-5.851981925917173e-18,5.1670654250507675e-18,-5.5863336626656785e-19,5.5863336626656785e-19
2005-01-12,0.0,4.992382329829743e-18,-6.162941952578548e-19,-6.799597705136177e-18,7.521834323750292e-18,5.0983247531860034e-18,-5.0983247531860034e-18
2005-01-13,0.0,2.440156097394866e-18,-4.730585116669266e-19,-6.731390580476443e-18,9.500165607585026e-18,4.735872612836523e-18,-4.735872612836523e-18
2005-01-14,0.0,-1.7208155241071831e-18,-9.169040232708078e-20,-3.389035250138914e-18,1.1282913794839714e-17,6.081372618266536e-18,-6.081372618266536e-18
2005-01-15,0.0,-5.934173888459045e-18,2.950837814128849e-20,-2.7801669239969438e-18,1.271088725296068e-17,4.026054818645979e-18,-4.026054818645979e-18
2005-01-16,0.0,-5.865079343807486e-18,1.276231514103371e-19,-2.2764801766556024e-18,1.3994727365056433e-17,5.9807909960036826e-18,-5.9807909960036826e-18
2005-01-17,0.0,1.7637405787506718e-17,2.1111762780073806e-18,-5.126678032263606e-18,1.0235974961177952e-17,2.4857878994428445e-17,-2.4857878994428445e-17
2005-01-18,0.0,-8.437818313319074e-18,4.564762402028939e-18,4.950921473940027e-19,7.117181334160705e-18,3.7392175702645735e-18,-3.7392175702645735e-18
2005-01-19,0.0,6.927290067469342e-18,6.0469773242622634e-18,3.135565180774205e-18,4.2221615709285255e-18,2.0331994143434334e-17,-2.0331994143434334e-17
2005-01-20,0.0,-1.1020451200098427e-17,6.9080528508250424e-18,3.1458025997452185e-18,1.679248327522568e-18,7.126525779944022e-19,-7.126525779944022e-19
2005-01-21,0.0,8.66027573793497e-18,8.282567867276374e-18,3.484659451358043e-18,-6.826832810818401e-19,1.9744819775487548e-17,-1.9744819775487548e-17
2005-01-22,0.0,-0.0016876142058738109,0.00025893523303948535,0.0008195319306762936,0.0001504088508248446,-0.00045873819133318734,0.00045873819133318734
2005-01-23,0.0,0.0017608759709527707,0.0005341791742805602,0.0006496547442010335,0.0002878507572790655,0.00323256064671343,-0.00323256064671343
2005-01-24,0.0,-0.0004694002220241183,0.0007228294677520445,0.0003830737869605608,0.00040994659778495913,0.001046449630473446,-0.001046449630473446
2005-01-25,0.0,-9.051251762935429e-06,0.0006497685640377274,-0.0011303194585176092,0.0005216521588146862,3.205001257186905e-05,-3.205001257186905e-05
2005-01-26,0.0,-0.0007805736067884625,0.0007681249392691675,0.0011574157417146237,0.0006247961115483128,0.0017697631857436415,-0.0017697631857436415
2005-01-27,0.0,0.0027829752181689473,0.0006811866969849164,0.004196539559285514,0.0007197192962702685,0.008380420770709645,-0.008380420770709645
2005-01-28,0.0,-0.004503270294800784,0.00067107062961796,0.00468968408534224,0.0008049393456615105,0.0016624237658209263,-0.0016624237658209263
2005-01-29,0.0,0.004281335140057846,0.00033443197019730384,0.0008013358006233963,0.0008845141906512086,0.006301617101529755,-0.006301617101529755
2005-01-30,0.0,-0.003314723786298807,0.0001391722685630788,-0.001047085290973331,0.0009611930565674302,-0.0032614437521416295,0.0032614437521416295
2005-01-31,0.0,-0.005972913529226998,-0.00014883253577216437,-0.0018652845024514227,0.0010328159635505324,-0.0069542146039000535,0.0069542146039000535
2005-02-01,0.0,0.011054735816639169,-0.0005061385453518708,-0.0034173054139341103,0.0011001518701849611,0.00823144372753815,-0.00823144372753815
2005-02-02,0.0,-0.003917094124854639,-0.0009030926823499642,-0.002867377933522182,0.0011604010779303544,-0.0065271636627964305,0.0065271636627964305
2005-02-03,0.0,0.0035626087082566986,-0.0012928658571218627,-0.001292460740964786,0.0012175350036781405,0.0021948171138481904,-0.0021948171138481904
