,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1,1.0,3.45758592639042e-07,3.4513923060570907e-07,2.1042509812668168e-07,2.3997010218991807e-07,2.9499609167618956e-05,4.659210126221096e-05,3.92458880266753e-06,4.272045336240266e-06,9.853577193386581e-07,5.851119653561431e-07,0.004006113907331342,0.0031813027030126685,7.774166143157899e-06,3.3904705716374944e-07,2.376753322903066e-06,2.3795051782381525e-07,1.4492224800522328e-06,4.855854785438104e-06,3.860917733730382e-07,5.131648334208442e-07,7.886477153704999e-07,8.298449788680839e-07,5.965923518255313e-07,5.780716381181347e-07,1.6539178223907913e-07,1.594436527315566e-07,1.0069788522789553e-06,4.601388082690982e-07,1.8837838561694131e-06,1.3951503287778566e-06,1.9331149250689897e-07,2.14941544138689e-07,4.0429170197527734e-07,2.150176532370726e-06,7.878229078981926e-06,5.402561873960442e-06,8.426953050097327e-07,4.7565354915747535e-07,1.111443260805918e-06,1.0300398505948556e-06,5.98481488430995e-07,3.5064351284225383e-07,1.7667786510850974e-07,2.1083734409218646e-07,1.2378274878336593e-06,1.4379028452150048e-06,4.707134110057863e-06,6.031954120617166e-05,1.6999638485468718e-06,8.526228983098709e-07,7.904843531537415e-07,3.0230867510658355e-07,4.95657422901497e-07,8.437264793543066e-07,5.638948275937256e-06,1.9836836487620555e-05,0.00035251660568199066,0.0001976240535266002,0.0026485935802997465,0.0019373743931932988,5.76890870475958e-06,1.3653914415075282e-05,3.1671065402209694e-06,9.172089791865046e-07,7.507208712688084e-07,6.758071665412316e-07,0.010116617467268411,0.016574463905030413,0.00010147750422610777,5.01656138767998e-06,5.405645395742311e-05,1.7676757493635185e-05,3.075504857437184e-06,0.00033673691785921444,1.207499100482941e-05,0.0006593107407024233,1.778616109256146e-06,4.770827223990218e-06,2.315731718614467e-06,1.3894982098672219e-05,7.87004504032994e-06,3.7979509753497255e-06,2.009165309765095e-06,7.638757899163127e-07,6.510972731331411e-07,1.6476957385888979e-06,1.2883464694402447e-06,1.2163741328148608e-06,1.227033865853603e-06,1.5066327900375094e-06,1.7077366269838212e-06,2.3651240878276154e-06,9.314008342920057e-07,4.4415769358288887e-07,5.901009321680327e-06,5.720396948010178e-06,1.2523141051980141e-05,1.434574154991517e-05,2.91621561382528e-06
2,3.45758592639042e-07,1.0,0.99999822336058,0.0002112377523475297,0.00024181027302676278,3.770122296082058e-06,6.431231832834906e-06,3.8672564827328005e-07,1.367491441513678e-05,0.0005186957689230339,0.0005245764826674864,1.405198960576257e-06,3.926505097248502e-06,7.243571548067686e-06,5.793105874394787e-06,6.370553322197427e-06,5.420973391141047e-06,4.517239722020527e-05,1.2256524633433892e-05,1.4890766480245507e-06,7.051534523321122e-06,0.020763302680521886,0.020768329339874103,0.00011477883379251148,0.00014914984266830808,6.1503823906434125e-06,9.028555326914374e-06,1.8436786762164655e-05,8.793447868168842e-06,7.973628463227925e-06,9.64008578405133e-06,1.404301693805959e-06,1.2573280643068277e-06,3.2961737722693578e-06,2.609080877718571e-06,2.3986913618616916e-06,5.37660303860001e-07,8.265954710077929e-06,3.5574939475381937e-06,1.137744942582227e-05,1.358783980698821e-05,3.168278079301342e-05,2.585784936701767e-05,3.4909453110240654e-05,3.677073568672758e-05,4.996737749883218e-05,5.425767054188459e-05,5.300106857175704e-06,4.9351221392825206e-06,0.00011549441237632622,0.00010854507964439221,4.407408851912154e-06,1.692986267882303e-06,4.8147263181362925e-06,5.181819914584743e-06,2.587629426638922e-06,2.887533736052956e-06,3.898934738554768e-06,6.1619967770470824e-06,5.7337394425385465e-06,1.5745560678079332e-06,2.4686515013738535e-05,3.230746933900763e-05,1.3396481968745574e-05,1.6878369018668372e-05,5.866795043860212e-06,1.2529904354564886e-05,1.3908913675781153e-06,9.49518722063091e-07,1.0134972669299108e-06,1.8855547781151097e-06,3.930544418605283e-06,7.73326150771354e-06,9.707710955164959e-06,1.074419204126459e-05,2.785836111967221e-05,2.195875834469422e-06,7.559651859516129e-06,3.987837713395307e-06,4.647724548758547e-06,9.66232241594813e-06,7.027534921718365e-06,1.0622360644079409e-05,6.097004474003426e-06,8.538123805243105e-06,1.9481688663379878e-05,3.072294731469222e-05,8.16383579727228e-06,2.969659984022586e-05,1.3831600237146816e-05,3.0053319085437162e-05,2.2782571900074423e-05,2.0564963114056916e-05,1.3662860504502293e-05,1.4801718346048794e-05,4.570068913453291e-06,1.0817149342580755e-05,1.9255020885426944e-05,1.626324762044597e-05,1.6815462194741783e-05
3,3.4513923060570907e-07,0.99999822336058,1.0,0.00017854355759822015,0.00020868583069977908,1.5057153175986164e-06,4.434881931062991e-06,1.868448851207603e-05,3.242856981822358e-05,0.0005234821412138359,0.0005279713891694244,1.6854754007932893e-06,3.5450099023920624e-06,3.4922377483210063e-06,2.192078364986408e-06,4.413948596712674e-06,4.119799174588547e-06,5.026770319319074e-05,1.6702330571927105e-05,2.0235483479537853e-06,8.419517284641744e-06,0.020718729454210973,0.020721087348325114,0.00011482333423524004,0.00014816252020137562,7.436724300843685e-06,1.0322832005151612e-05,1.1216680964317357e-05,2.567953567198371e-06,8.767747611065981e-06,9.50143831407488e-06,1.307466297175178e-06,6.486628967497467e-07,2.1178413923151192e-06,1.6931978472821832e-06,3.927990267853087e-06,1.7282945338981512e-06,4.682498086462336e-06,1.185040538406717e-06,1.12032924779155e-05,1.447681339096949e-05,2.5065717372483643e-05,1.982513713689314e-05,3.01022916391843e-05,3.116788124806259e-05,6.10852137806049e-05,6.756390032885973e-05,7.307395626355097e-06,6.060381309480484e-06,0.0001353988508924876,0.00012630896870343306,4.668843897564118e-06,8.673516484486581e-07,5.475932081304106e-06,5.956810643724065e-06,4.187706763026473e-06,4.545274595704475e-06,5.811358707450311e-06,5.333230852064648e-06,6.419998917521635e-06,3.906601367953804e-06,2.0643622989475944e-05,2.743281509893383e-05,9.753266366306202e-06,1.21664931589849e-05,2.1172089939780547e-06,7.69060316823294e-06,2.3848607576726772e-06,1.2712416422941261e-06,9.358242906359366e-07,1.7764871188903247e-06,7.748014579737345e-06,1.076638134074054e-05,1.1014681805821709e-05,1.1969052538609287e-05,3.097924476556704e-05,4.441215244815238e-06,6.387193359504886e-06,2.8784076083581767e-06,4.881798169850321e-06,1.036390142062326e-05,6.849854382214219e-06,9.630895050520754e-06,6.292769988329198e-06,9.584639268442908e-06,1.7951744877126097e-05,3.029938694553273e-05,8.591474484628264e-06,2.992904775462788e-05,1.291734323062849e-05,3.0343678107046888e-05,2.8887019155588082e-05,1.933316063071927e-05,1.4111198993260227e-05,1.3407365249105367e-05,5.479245722556676e-06,1.0298827331138477e-05,2.056951971534792e-05,1.7032979828679763e-05,1.704815072033389e-05
4,2.1042509812668168e-07,0.0002112377523475297,0.00017854355759822015,1.0,0.9999972534523012,6.471443390050834e-05,4.875642883049324e-05,3.605784536194636e-05,5.995804486550557e-05,1.2902643778728578e-05,2.6681739937325354e-05,1.9963401546544884e-06,6.510043663594616e-06,0.00039338328037391974,0.00039104960055234714,0.00015135899302236652,0.0001264223773940185,1.2408592602862015e-05,1.2206193969036504e-05,6.4498812878847025e-06,6.663135540302084e-06,1.2689102578447625e-05,7.049993955145042e-06,5.071895185086508e-06,3.0316584948041783e-06,0.00011568694954630883,0.00010351681565942123,1.861075621394799e-05,9.227285836321532e-06,3.911946200416317e-06,4.0294835853480376e-06,0.0003818177194877279,0.0003471884974233036,0.00011194367195845093,0.00024243160187428968,2.189266261001017e-06,4.478008382618299e-06,3.449555013140778e-05,2.793041710380609e-05,2.652012697850901e-06,2.2719166479309995e-06,4.5816649110620706e-06,4.329576742203183e-06,6.1630118279780765e-06,4.549845499073946e-06,1.5112626182829478e-05,1.4568561455810846e-05,9.351501081011979e-06,3.2600130816143314e-06,7.615528938226862e-06,6.825879486979635e-06,3.2500347058622954e-05,1.0603778104709965e-05,0.0001228318022291749,0.0001287906291280452,6.404989126975931e-06,3.6152141603296494e-06,3.928488185108355e-06,2.694083437379029e-05,2.3026860446670636e-05,4.458348539516875e-06,0.0005250989401483308,0.0003631147870668942,0.01491202475257929,0.014763235449621161,0.0006687233094396906,0.0003225178510290243,3.2505121887523345e-06,1.9729486513367818e-06,1.6460442603712502e-05,4.920031484442142e-05,7.942567963699446e-06,4.643939579923292e-06,5.1723136359433415e-06,1.2545663176030495e-05,2.3561670497254388e-05,1.2474782211711811e-05,0.0013903936200234807,0.0013760430415973213,3.253623771210474e-05,2.4856078172369542e-05,1.605251373754121e-05,2.5168915929957622e-05,1.0060015858167151e-05,1.4985370366919682e-05,5.1446728496720706e-05,8.467488093788695e-05,0.00013905258027572284,0.0003258436526269947,0.001194734324268316,0.004349665452459952,0.00797855153938896,0.008386782898033985,0.004123825551070494,0.00025577830155017596,1.5378232696390007e-05,2.5153891240960777e-05,4.001514588651941e-05,0.0001104923057409063,1.2663227544974312e-05
5,2.3997010218991807e-07,0.00024181027302676278,0.00020868583069977908,0.9999972534523012,0.9999999999999998,5.006034139777573e-05,3.4001970716286495e-05,7.598539347801698e-06,3.1277207307401164e-05,1.823988429897925e-05,3.2513287973654294e-05,4.827466405742633e-06,9.879417703996027e-06,0.0003858258147276123,0.0003827046141796059,0.00015196917464758546,0.00012536407552406624,9.161281908003029e-06,8.959720450441718e-06,9.117361843469973e-06,8.774956537475208e-06,9.701545527259936e-06,4.572996320973886e-06,2.66929492180233e-06,9.787539782313507e-07,0.00010212531344253887,8.981602273283034e-05,1.5186835691330427e-05,4.394716848845975e-06,1.6466646014315684e-06,2.0547997761148782e-06,0.0003532436992839968,0.0003191757829991346,0.0001071272807791223,0.00023653281227538903,2.0552694866990712e-06,4.4578646773448625e-06,2.9760937362610837e-05,2.107965812145362e-05,2.3332588543501073e-06,1.6674655905775308e-06,4.040857768395707e-06,3.4218704635556243e-06,7.354892815577706e-06,6.267137079077046e-06,1.2658713286237429e-05,1.0601105617915312e-05,1.092508008908938e-05,5.183304416755529e-06,2.1787815733926758e-06,2.3422675792010613e-06,2.33289251769745e-05,4.372104908720748e-06,0.00012612052131984753,0.00013185000146346995,5.1104341730263415e-06,2.2902883425836423e-06,4.286945506700521e-06,2.9130878358216856e-05,2.2259090317396602e-05,3.1438958592795425e-06,0.000534208238731974,0.00037199203443074463,0.014950650003359942,0.014809574464249181,0.0006786928858631711,0.0003343666279943516,2.6757904739493206e-06,2.0596854173583444e-06,2.027796257107215e-05,5.329834951048298e-05,6.604690990292771e-06,4.639467722664661e-06,6.043866205687355e-06,1.272274256118994e-05,2.3329647696462876e-05,1.1827964409339101e-05,0.0013944345027029565,0.0013785574843927907,2.681667609144562e-05,2.6080253100543414e-05,1.673507845398328e-05,2.3334650419647697e-05,1.1037187629730108e-05,1.5960049989563022e-05,5.202281109555394e-05,8.744085923821858e-05,0.00014182263307522635,0.0003310800875841108,0.0012230230488878835,0.004463163309281973,0.008167748624858445,0.008643251251373621,0.004252153149659828,0.0002620650914040984,1.6507437961918637e-05,2.72504410337396e-05,4.13402393953418e-05,0.00011357684873378933,1.4312695363552657e-05
6,2.9499609167618956e-05,3.770122296082058e-06,1.5057153175986164e-06,6.471443390050834e-05,5.006034139777573e-05,1.0,0.9999233133567161,0.00017669976893156585,0.000917745216385505,0.00020036297935822832,0.00017036380450643473,6.95714630502232e-05,7.051264810015409e-05,2.7117198118510582e-06,2.099871683305921e-06,7.124515049009626e-06,5.55697283439116e-06,0.000101166763307076,8.409609925359638e-05,3.63332768018223e-05,3.7884786978269666e-05,9.037921986759922e-06,9.062928389538368e-06,3.7698066375258488e-06,3.0412306966795205e-06,3.101169500935512e-06,4.3035954049585334e-06,1.4826851313945338e-05,4.433536054951577e-06,1.1247796765146483e-05,5.398263444270863e-06,7.011028489424897e-06,4.146964545180993e-06,2.8370639310272173e-06,2.8767467294896277e-05,0.00035818988719154573,0.00022923204205736137,5.74221556186174e-06,2.6161061760451708e-06,8.045247477985216e-06,8.13715768921586e-06,2.3977452728933795e-06,1.4089334616210847e-06,4.973045234334824e-06,1.9778151624430767e-06,0.00011873161545620283,3.0183791750686842e-05,0.00030908786185422855,0.0006724556678211157,2.4416303601614882e-05,6.937427166603019e-06,5.927778057112936e-06,1.7946469444546314e-06,2.7209703995362597e-06,6.2845939643665e-06,5.542726285887882e-05,6.975450409873655e-05,0.000740812879748165,0.0002717423975531633,0.000308853048650624,0.00019991144788646735,1.3029988522651895e-05,1.1148184270609528e-05,7.11620720508084e-06,5.1427395560834385e-06,4.167652080995451e-06,1.4683979641776421e-05,0.0001892738828986278,5.5228393689181855e-05,9.917731108917535e-06,1.3183948387207074e-05,4.158583628042354e-05,8.513800323370527e-05,2.3140919721820484e-05,0.000451013340913128,0.00012837852873094266,0.00038988776731391315,0.00011530521651013424,2.3310154874606092e-05,0.001235095974067788,0.023010972878192728,0.031395954203422394,0.008352032749250376,0.00014680629417626926,0.0002981167731552123,0.00018216506130365424,0.0006383027947458159,6.259434048212847e-05,0.00011125837075132355,0.0001330468206940443,4.3859495749295925e-05,0.00011935007886664968,0.0001537958995574038,7.027695448243763e-05,9.64696856589819e-05,0.009205070663192823,0.008137626140418682,0.06648687144734648,0.0452062818612577,0.007238749043223001
7,4.659210126221096e-05,6.431231832834906e-06,4.434881931062991e-06,4.875642883049324e-05,3.4001970716286495e-05,0.9999233133567161,0.9999999999999999,0.000901305996365944,0.0016528305518306579,0.00022119575171261404,0.00019042310603940596,9.043884616261563e-05,7.745775266595727e-05,4.821463097072894e-06,4.125082025702471e-06,8.915940754930325e-06,7.278167996075503e-06,9.980795294833281e-05,8.347489877283554e-05,1.5566816517475875e-05,1.8195642863909995e-05,2.5275142412809695e-05,2.524586739395704e-05,9.117747666607102e-06,8.344096898389401e-06,1.6704615967815924e-06,2.7154898911569878e-06,2.1739280541997354e-05,1.0187846145268871e-05,2.9176855233376593e-05,2.2410391760085568e-05,6.5797574174190984e-06,4.542518927632666e-06,9.433847725375824e-06,3.8478357013607344e-05,0.0003963088665937474,0.0002487344721186779,1.4260664959600841e-05,1.1126128627486935e-05,8.286701841803362e-06,9.174139438351977e-06,4.639586847497238e-06,3.7483967330040076e-06,4.651752059192272e-06,1.7164620765454971e-06,0.00011714732329336348,2.785020661010623e-05,0.0003993909048326767,0.0008202918957254063,2.660726850779433e-05,7.397654633958103e-06,8.093619280812745e-06,3.757312661512076e-06,1.465272833706542e-06,4.712392112266603e-06,5.4728761310864605e-05,7.59758654754498e-05,0.0008740865869451702,0.00035619270241469387,0.00020879561273383216,0.0001630273998496338,1.346351046934452e-05,1.0594401967214277e-05,6.201536033283212e-06,4.382096116004635e-06,3.4630408473567e-06,1.3783221723830876e-05,0.00014320390934087604,8.477027977062765e-05,1.1623623873579859e-05,1.4753858621658816e-05,4.790134285701917e-05,8.518186789602065e-05,2.2424543605724424e-05,0.0004318689257052633,0.00010924949591205595,0.00038043793476231374,0.00011531620298007726,2.3487671711837235e-05,0.0012332261579428873,0.02297148330589879,0.03136846995060515,0.008350868044374833,0.00014619241181747114,0.000294883699629953,0.00018377538060114786,0.0006374443687636337,5.952932105378747e-05,0.00010986480795543074,0.00013497225951566427,4.378406971661785e-05,0.00011765155794673801,0.0001541155452811448,7.092418420039651e-05,9.7803104161424e-05,0.00927633656667305,0.00820393422646907,0.06690638418083039,0.04545692650136094,0.007268103654680593
8,3.92458880266753e-06,3.8672564827328005e-07,1.868448851207603e-05,3.605784536194636e-05,7.598539347801698e-06,0.00017669976893156585,0.000901305996365944,1.0,0.9999731675879096,0.0008912761211832881,0.0002854742665854528,0.00048151293053943475,0.0007546576571678829,2.094148162416547e-06,1.4813277867404604e-06,1.6294186119422688e-06,7.259572538359169e-06,9.308627144872768e-06,1.2068900809556744e-05,9.149470973576694e-06,2.2447051433830573e-05,5.491285674229404e-06,3.3591103617460873e-06,5.11015100214408e-06,1.1975840930183493e-06,2.0028480407130623e-06,2.3057066076638974e-06,6.3472288636679145e-06,2.744891079037988e-06,6.911408650585724e-05,1.0024381598054573e-05,5.6129003540855845e-05,4.329682953560018e-06,0.0001334509592907002,1.2413703699483241e-05,0.10923464239732887,0.10971228030939478,1.8372696546833724e-05,1.6948010898665394e-05,1.572970354111858e-06,0.00014270436575576986,6.76123582134719e-06,1.1446311567891492e-05,1.3285794092310126e-05,1.2289875471850266e-05,0.0007933804423228388,0.0001659556304447709,0.0027059703457276377,0.0030336486174071644,0.00012968682580482847,3.1492058755139123e-05,2.1872684614887957e-05,6.658564708491405e-07,1.233833017149005e-06,5.378263405760324e-06,2.4539568537344936e-05,3.276216478342738e-05,0.003662856503595817,0.0028351229250503708,0.00012570773339141058,0.0005402829190285954,4.496566611424565e-06,1.5084692008921833e-05,3.7730175961003137e-06,9.975211101361713e-06,1.9788690915229107e-06,8.967537715166548e-06,5.6265898192763856e-05,2.503494832730885e-05,1.6236975135551143e-06,1.50541756162622e-06,2.534128168222102e-05,2.3986434708497362e-05,4.0300944850930135e-06,6.763360940585279e-05,3.378423312609773e-05,5.8471665584452566e-05,7.1590792509143014e-06,3.443323418405675e-06,4.911288743890276e-05,0.0008075296591187296,0.0007666920217836485,0.00022079943634994314,8.172474457906895e-06,1.478255055841097e-05,4.119174928226615e-06,2.2691248147006886e-05,1.2128930787257822e-05,7.860910994464604e-06,3.1940003939923113e-06,5.035721893401632e-06,2.8304404024091406e-05,3.6041332427937377e-06,3.0103595070579793e-05,3.449245068357042e-06,8.36428995704207e-05,5.503325681944278e-05,0.0007933652465179142,0.0007639998009950218,0.00010089955273904338
9,4.272045336240266e-06,1.367491441513678e-05,3.242856981822358e-05,5.995804486550557e-05,3.1277207307401164e-05,0.000917745216385505,0.0016528305518306579,0.9999731675879096,0.9999999999999998,0.0016722769125759205,0.0010659572173160458,3.5169274050119107e-05,0.00028278207193522544,3.926038441297676e-06,4.4238513047796935e-06,1.3852041487068186e-05,1.9945554578562916e-05,8.636037290651297e-06,6.839856204884727e-06,3.451332152155502e-05,4.73921614325283e-05,2.1139157107456383e-05,1.8541998083578893e-05,1.0359949985867034e-05,6.072601073172146e-06,8.055545975962869e-06,8.379132365593445e-06,7.69447546136538e-06,3.899203895041121e-06,8.944916058906351e-05,2.8610758140170935e-05,6.172898438191092e-05,9.99210014589881e-06,0.00013670917534416748,1.6471071563632172e-05,0.1090838119527264,0.10953723474166534,1.9778108066532722e-05,1.90970827442733e-05,4.555094087146334e-06,0.00014640088904820567,6.9840758177916705e-06,1.1887054565055741e-05,1.6660025947930375e-05,1.563881588598414e-05,0.0008459830332670934,0.0001783777221217856,0.0030773462936433886,0.003426504946550886,0.00014145054954283086,3.806853855636342e-05,2.6013198213430197e-05,3.200089093971703e-06,3.84944825957112e-06,8.489168390030333e-06,2.78471755920892e-05,3.660979356920353e-05,0.004026735508195452,0.0031957096155861165,0.00010685839209667228,0.0006122012095576905,7.443648848747047e-06,1.8333482423168683e-05,7.0668591600344075e-06,1.3834168947817257e-05,2.658990691281666e-06,9.50426128581161e-06,2.355726517345582e-05,1.1365067706607165e-05,2.0421880599121153e-06,2.1445433445538398e-06,3.5840470406000484e-05,2.442901844213557e-05,6.4827095807584225e-06,6.609608377938152e-05,5.41680082325551e-05,5.9186616311437884e-05,7.65452189571969e-06,4.231918186208486e-06,5.3074929630221436e-05,0.0008277930963611192,0.0007686252805033333,0.00022159981508433898,1.1038691588727297e-05,1.7287747739975104e-05,4.683782624030211e-06,2.3710901403002023e-05,1.2702838654868538e-05,8.545461607552743e-06,6.2417778179471535e-06,9.265203569773585e-06,3.3323947145506765e-05,7.263446411655354e-06,3.5487643586221826e-05,5.753213692980014e-06,0.00011709009987658558,7.522447335043281e-05,0.0008133088013607986,0.0007671353183676936,0.00010099542921717225
10,9.853577193386581e-07,0.0005186957689230339,0.0005234821412138359,1.2902643778728578e-05,1.823988429897925e-05,0.00020036297935822832,0.00022119575171261404,0.0008912761211832881,0.0016722769125759205,0.9999999999999998,0.9999976174285112,2.3955627150605177e-05,2.042139295807731e-05,5.051907091193611e-05,3.5400091736520615e-05,2.2768286467984557e-05,1.8453778727268244e-05,0.00010823212437278489,6.824114286688522e-05,8.112656751398346e-06,1.8147130954750073e-05,0.0003287910647343065,0.0002831620337420041,0.0013870827153491115,0.001464104150178643,8.994718635223602e-06,1.2686921484822846e-05,2.817289536561257e-05,7.191457484637269e-06,6.08373281441052e-06,1.8628033228991433e-05,6.423014024794473e-06,2.030687162205396e-06,4.443744501770268e-06,6.393350839923921e-06,0.00014087518438737616,0.00013587584688064586,1.2206505085305812e-05,5.041762375819644e-06,0.00017826593189618217,0.00018539705008616548,5.962344100680795e-05,4.735488066832279e-05,4.989788431830928e-06,5.161084636328965e-06,9.307021714792836e-05,0.0001050127956406495,1.3745639898415917e-05,8.62667312636994e-06,0.00011269650114524724,9.402670961633958e-05,3.934103199313571e-06,2.0418322365478064e-06,3.899862348527828e-06,5.98284972373732e-06,5.291784719007015e-06,8.507307238315073e-06,9.052032219459735e-06,9.107518130249266e-06,8.237865260395545e-06,1.1895086553675538e-05,2.777645368874762e-05,2.9760402514859757e-05,4.628847207940317e-06,1.2953727046522763e-05,3.324823148310169e-06,7.3961661030677745e-06,4.643207471604058e-06,4.80611602572397e-06,4.711906481527896e-06,2.038412819234518e-06,2.5856913889778033e-05,4.910117790675695e-05,6.588008601131573e-05,2.6286056577464314e-05,2.770729132174896e-05,1.1422504620127483e-05,3.5987899841914687e-06,4.762979143798023e-06,3.7480083790648416e-06,1.2683937751299998e-05,1.5020024069308089e-05,7.3734339982924215e-06,3.654855698198575e-05,2.429331840828317e-05,2.406546078641315e-05,2.7487002210546917e-05,6.89290798661598e-05,0.00011737070216425137,2.2663817196593377e-05,1.7276136175364833e-05,4.5243173020080265e-05,6.1418344858894175e-06,1.989929728757848e-05,6.786049006913974e-06,1.531568859338758e-05,2.1476261679087083e-05,3.805787871206431e-05,3.287952727119594e-05,7.387497628643851e-06
