variable,component,band,mean_band_power_fraction,median_band_power_fraction,min_band_power_fraction,max_band_power_fraction
t2m,subseasonal,subseasonal_7_30_days,0.9594053856492271,0.963076681567241,0.9237117022776355,0.9820251610872864
t2m,trend,interannual_1_3_years,0.5555588064081703,0.5605086613614911,0.3367070240465228,0.7434782879763816
t2m_std_anom,annual,annual_300_430_days,0.5674592341433327,0.5861033275016584,0.3750223753055773,0.6504259968274358
t2m_std_anom,high_frequency,high_frequency_2_7_days,0.9910652957079296,0.9945930202456452,0.9493365051046666,0.9997550737560588
t2m_std_anom,interannual,interannual_1_3_years,0.43644736514459076,0.42268599565613996,0.237663918988493,0.708971148639103
t2m_std_anom,noise,high_frequency_2_7_days,0.9999999198933388,0.9999999270879738,0.9999998424360366,0.999999966295402
t2m_std_anom,original,subseasonal_7_30_days,0.46512297160743166,0.4674962082394782,0.4131458475270096,0.4968888515395409
t2m_std_anom,reconstructed_signal,subseasonal_7_30_days,0.4656944450002491,0.46806904226594104,0.4135270008615201,0.4974894816471439
t2m_std_anom,reconstruction_residual,high_frequency_2_7_days,0.9999999198933388,0.9999999270879737,0.9999998424360366,0.9999999662954018
t2m_std_anom,seasonal_subannual,seasonal_30_150_days,0.9301339025579828,0.9360041110703172,0.8503007452702355,0.9821166145514948
t2m_std_anom,semiannual,semiannual_150_300_days,0.6687371080141907,0.642656109422011,0.3795893758041535,0.96379438452284
t2m_std_anom,subseasonal,subseasonal_7_30_days,0.962941904432498,0.9655488754622128,0.92791034786025,0.989516980178149
t2m_std_anom,trend,low_frequency_gt_3_years,0.5021482545559077,0.484119275239035,0.2397535849775342,0.7101339030751254
tp,annual,annual_300_430_days,0.8631336625792411,0.888029734313224,0.5798500500646075,0.934606861963714
tp,high_frequency,high_frequency_2_7_days,0.9763333496246116,0.9771800217493216,0.9635056210978834,0.991138786074116
tp,original,high_frequency_2_7_days,0.4845070645574141,0.49182203406335995,0.4082147717857922,0.5295293570231167
tp,reconstructed_signal,high_frequency_2_7_days,0.4845070645574141,0.49182203406336,0.4082147717857922,0.5295293570231165
tp,reconstruction_residual,high_frequency_2_7_days,0.6240326852977894,0.6284364193940423,0.4693728493050916,0.7258199835550152
tp,seasonal_subannual,seasonal_30_150_days,0.9361954937077599,0.9470357124620302,0.7840846482456116,0.9903326878231818
tp,semiannual,semiannual_150_300_days,0.7421266167124599,0.7786901722096357,0.3974680649023497,0.977269722626856
tp,subseasonal,subseasonal_7_30_days,0.9362364874927868,0.9397403372588671,0.8861587991044788,0.9709516916743924
tp,trend,low_frequency_gt_3_years,0.5123727949999266,0.49953692473158523,0.3316545631268736,0.6946861765237253
w2c_event,annual,annual_300_430_days,0.40113303998667454,0.42169084486893327,0.1339534779838327,0.6293301107620483
w2c_event,high_frequency,high_frequency_2_7_days,0.973143519867901,0.9744982912671429,0.9580996500459962,0.9830753483638668
w2c_event,interannual,interannual_1_3_years,0.43142844075949555,0.4318133932413365,0.2688122555355773,0.7167340347368363
w2c_event,original,high_frequency_2_7_days,0.7197448181608533,0.7197984443295387,0.7151971450068095,0.7233495493858187
w2c_event,reconstructed_signal,high_frequency_2_7_days,0.7197448181608533,0.7197984443295389,0.7151971450068094,0.7233495493858187
w2c_event,reconstruction_residual,high_frequency_2_7_days,0.70459512361262,0.7107637092663979,0.6362879952824287,0.7553670328161366
w2c_event,seasonal_subannual,seasonal_30_150_days,0.8970584458328553,0.8980254049689362,0.7692268962300592,0.9613924344193268
w2c_event,semiannual,semiannual_150_300_days,0.7326045663961677,0.7455842447829282,0.3256417936966246,0.9620718687674412
w2c_event,subseasonal,subseasonal_7_30_days,0.916754143592061,0.9195985803479361,0.8708526420087822,0.9530325787843804
w2c_event,trend,low_frequency_gt_3_years,0.5456375910522145,0.5563968675885658,0.2686684943623125,0.7385168464642736
w2c_transition_intensity,annual,annual_300_430_days,0.4115885165317311,0.3833749277381922,0.0635345437080211,0.643612713482534
w2c_transition_intensity,high_frequency,high_frequency_2_7_days,0.9718147284712456,0.9734590345462466,0.9551175536773304,0.9853013178073328
w2c_transition_intensity,interannual,interannual_1_3_years,0.5615934485251506,0.582091685488008,0.3335271037907817,0.7461735510426217
w2c_transition_intensity,original,high_frequency_2_7_days,0.7195743583401052,0.7196546658896608,0.7148296287653271,0.7236473421067373
w2c_transition_intensity,reconstructed_signal,high_frequency_2_7_days,0.7195743583401052,0.7196546658896609,0.7148296287653271,0.7236473421067372
w2c_transition_intensity,reconstruction_residual,high_frequency_2_7_days,0.7034865172804695,0.7133890564173264,0.616293657231463,0.7693243648837668
w2c_transition_intensity,seasonal_subannual,seasonal_30_150_days,0.8983273135764895,0.9105355687115998,0.7425800655723045,0.9671069381287704
w2c_transition_intensity,semiannual,semiannual_150_300_days,0.7358520813986016,0.7698994628236131,0.1532308868472633,0.9675930462444826
w2c_transition_intensity,subseasonal,subseasonal_7_30_days,0.919734585634435,0.9236206470164436,0.8715719546835461,0.95387473386264
w2c_transition_intensity,trend,low_frequency_gt_3_years,0.555305484359457,0.5616778236909523,0.2553156313061103,0.7257736569779077
