rank,period_days,frequency_cycles_per_day,power,prefecture_code,variable,component
1,341.3333333333333,0.0029296875,972.8788674100688,JP-01,ah,original
2,186.1818181818182,0.00537109375,65.03585454551875,JP-01,ah,original
1,341.3333333333333,0.0029296875,1135.2587477457805,JP-01,ah,annual
1,186.1818181818182,0.00537109375,1275.5155023192146,JP-01,ah,semiannual
1,186.1818181818182,0.00537109375,154.92883849423055,JP-01,ah,noise
2,120.47058823529412,0.00830078125,67.53814293429411,JP-01,ah,noise
3,93.0909090909091,0.0107421875,18.945030606587753,JP-01,ah,noise
4,44.52173913043478,0.0224609375,18.196235684364197,JP-01,ah,noise
5,64.0,0.015625,14.563622093025336,JP-01,ah,noise
1,341.3333333333333,0.0029296875,1118.286057562819,JP-01,ah,reconstructed_signal
1,186.1818181818182,0.00537109375,154.9288384942299,JP-01,ah,reconstruction_residual
2,120.47058823529412,0.00830078125,67.53814293429413,JP-01,ah,reconstruction_residual
3,93.0909090909091,0.0107421875,18.945030606587757,JP-01,ah,reconstruction_residual
4,44.52173913043478,0.0224609375,18.1962356843642,JP-01,ah,reconstruction_residual
5,64.0,0.015625,14.563622093025348,JP-01,ah,reconstruction_residual
1,2.1880341880341883,0.45703125,8.356225270706725,JP-01,c2w_event,original
2,9.615023474178404,0.10400390625,7.022035775493919,JP-01,c2w_event,original
3,10.778947368421052,0.0927734375,6.87330769693273,JP-01,c2w_event,original
4,3.261146496815287,0.306640625,6.718140089854835,JP-01,c2w_event,original
5,2.585858585858586,0.38671875,6.635222436140806,JP-01,c2w_event,original
1,682.6666666666666,0.00146484375,639.539166158037,JP-01,c2w_event,interannual
2,204.8,0.0048828125,18.512068834376038,JP-01,c2w_event,interannual
1,227.55555555555554,0.00439453125,796.2555914222364,JP-01,c2w_event,semiannual
2,292.57142857142856,0.00341796875,404.94197897106113,JP-01,c2w_event,semiannual
1,32.0,0.03125,105.53756009116128,JP-01,c2w_event,seasonal_subannual
2,49.951219512195124,0.02001953125,102.15130721590154,JP-01,c2w_event,seasonal_subannual
3,89.04347826086956,0.01123046875,79.12650254531647,JP-01,c2w_event,seasonal_subannual
4,58.51428571428571,0.01708984375,70.20779264175161,JP-01,c2w_event,seasonal_subannual
5,33.57377049180328,0.02978515625,69.66655843509601,JP-01,c2w_event,seasonal_subannual
1,10.778947368421052,0.0927734375,33.48755003880838,JP-01,c2w_event,subseasonal
2,7.211267605633803,0.138671875,31.601127176502892,JP-01,c2w_event,subseasonal
3,9.846153846153847,0.1015625,30.727169030472666,JP-01,c2w_event,subseasonal
4,9.615023474178404,0.10400390625,30.65488719267674,JP-01,c2w_event,subseasonal
5,26.5974025974026,0.03759765625,30.260093034342,JP-01,c2w_event,subseasonal
1,2.1880341880341883,0.45703125,13.897713655469218,JP-01,c2w_event,high_frequency
2,2.585858585858586,0.38671875,11.025316166801128,JP-01,c2w_event,high_frequency
3,2.104830421377184,0.47509765625,10.49155862361727,JP-01,c2w_event,high_frequency
4,2.278086763070078,0.43896484375,10.339074269691917,JP-01,c2w_event,high_frequency
5,3.308562197092084,0.30224609375,10.268730856136155,JP-01,c2w_event,high_frequency
1,41.795918367346935,0.02392578125,64.93681852700199,JP-01,c2w_event,noise
2,5.1457286432160805,0.1943359375,60.71038855024216,JP-01,c2w_event,noise
3,16.516129032258064,0.060546875,59.42885212974238,JP-01,c2w_event,noise
4,5.184810126582279,0.19287109375,51.933244824224744,JP-01,c2w_event,noise
5,3.357377049180328,0.2978515625,50.00209568419007,JP-01,c2w_event,noise
1,2.1880341880341883,0.45703125,8.756689834753024,JP-01,c2w_event,reconstructed_signal
2,9.615023474178404,0.10400390625,7.363567879527743,JP-01,c2w_event,reconstructed_signal
3,3.261146496815287,0.306640625,7.053803424245084,JP-01,c2w_event,reconstructed_signal
4,2.585858585858586,0.38671875,6.97236604070593,JP-01,c2w_event,reconstructed_signal
5,3.8641509433962264,0.2587890625,6.930333241362598,JP-01,c2w_event,reconstructed_signal
1,41.795918367346935,0.02392578125,64.93681852700199,JP-01,c2w_event,reconstruction_residual
2,5.1457286432160805,0.1943359375,60.71038855024209,JP-01,c2w_event,reconstruction_residual
3,16.516129032258064,0.060546875,59.42885212974243,JP-01,c2w_event,reconstruction_residual
4,5.184810126582279,0.19287109375,51.93324482422482,JP-01,c2w_event,reconstruction_residual
5,3.357377049180328,0.2978515625,50.00209568419007,JP-01,c2w_event,reconstruction_residual
1,2.1880341880341883,0.45703125,7.616327552808556,JP-01,c2w_transition_intensity,original
2,2.585858585858586,0.38671875,6.842738721393356,JP-01,c2w_transition_intensity,original
3,3.261146496815287,0.306640625,6.578890986461846,JP-01,c2w_transition_intensity,original
4,10.778947368421052,0.0927734375,6.38138081752575,JP-01,c2w_transition_intensity,original
5,9.615023474178404,0.10400390625,6.281202328053565,JP-01,c2w_transition_intensity,original
1,682.6666666666666,0.00146484375,527.3949927034155,JP-01,c2w_transition_intensity,interannual
2,14.222222222222221,0.0703125,89.47777657707272,JP-01,c2w_transition_intensity,interannual
3,14.422535211267606,0.0693359375,58.868139633086734,JP-01,c2w_transition_intensity,interannual
4,204.8,0.0048828125,20.975552715897464,JP-01,c2w_transition_intensity,interannual
5,3.4948805460750854,0.2861328125,12.22824281059064,JP-01,c2w_transition_intensity,interannual
1,227.55555555555554,0.00439453125,769.4813733324005,JP-01,c2w_transition_intensity,semiannual
2,292.57142857142856,0.00341796875,341.4478352216148,JP-01,c2w_transition_intensity,semiannual
3,14.840579710144928,0.0673828125,22.76866151844831,JP-01,c2w_transition_intensity,semiannual
1,49.951219512195124,0.02001953125,152.6997202484612,JP-01,c2w_transition_intensity,seasonal_subannual
2,58.51428571428571,0.01708984375,111.22572583957472,JP-01,c2w_transition_intensity,seasonal_subannual
3,32.0,0.03125,83.26709844901302,JP-01,c2w_transition_intensity,seasonal_subannual
4,107.78947368421052,0.00927734375,74.57642593452118,JP-01,c2w_transition_intensity,seasonal_subannual
5,128.0,0.0078125,68.39203973921056,JP-01,c2w_transition_intensity,seasonal_subannual
1,7.211267605633803,0.138671875,37.01765832283736,JP-01,c2w_transition_intensity,subseasonal
2,9.615023474178404,0.10400390625,35.75690466159792,JP-01,c2w_transition_intensity,subseasonal
3,11.377777777777778,0.087890625,33.895754816251255,JP-01,c2w_transition_intensity,subseasonal
4,11.770114942528735,0.0849609375,32.455872302621074,JP-01,c2w_transition_intensity,subseasonal
5,11.976608187134502,0.08349609375,32.35521930173642,JP-01,c2w_transition_intensity,subseasonal
1,2.1880341880341883,0.45703125,12.266708335600566,JP-01,c2w_transition_intensity,high_frequency
2,2.585858585858586,0.38671875,11.216031122962443,JP-01,c2w_transition_intensity,high_frequency
3,2.104830421377184,0.47509765625,9.95749668711007,JP-01,c2w_transition_intensity,high_frequency
4,3.308562197092084,0.30224609375,9.802283175426322,JP-01,c2w_transition_intensity,high_frequency
5,3.261146496815287,0.306640625,9.612570298402732,JP-01,c2w_transition_intensity,high_frequency
1,41.795918367346935,0.02392578125,82.47981059525759,JP-01,c2w_transition_intensity,noise
2,5.1457286432160805,0.1943359375,79.62333026196282,JP-01,c2w_transition_intensity,noise
3,16.384,0.06103515625,66.38382583406812,JP-01,c2w_transition_intensity,noise
4,5.2378516624040925,0.19091796875,57.75773387165882,JP-01,c2w_transition_intensity,noise
5,4.320675105485232,0.2314453125,57.61701626610455,JP-01,c2w_transition_intensity,noise
1,2.1880341880341883,0.45703125,7.95439386360014,JP-01,c2w_transition_intensity,reconstructed_signal
2,2.585858585858586,0.38671875,7.146275184219487,JP-01,c2w_transition_intensity,reconstructed_signal
3,3.261146496815287,0.306640625,6.866001060757119,JP-01,c2w_transition_intensity,reconstructed_signal
4,9.615023474178404,0.10400390625,6.542632366915969,JP-01,c2w_transition_intensity,reconstructed_signal
5,2.104830421377184,0.47509765625,6.474885664892453,JP-01,c2w_transition_intensity,reconstructed_signal
1,41.795918367346935,0.02392578125,82.47981059525769,JP-01,c2w_transition_intensity,reconstruction_residual
2,5.1457286432160805,0.1943359375,79.6233302619629,JP-01,c2w_transition_intensity,reconstruction_residual
3,16.384,0.06103515625,66.38382583406799,JP-01,c2w_transition_intensity,reconstruction_residual
4,5.2378516624040925,0.19091796875,57.75773387165876,JP-01,c2w_transition_intensity,reconstruction_residual
5,4.320675105485232,0.2314453125,57.617016266104685,JP-01,c2w_transition_intensity,reconstruction_residual
1,341.3333333333333,0.0029296875,178.4018353036584,JP-01,cases,original
2,6.989761092150171,0.14306640625,21.6249495206401,JP-01,cases,original
3,186.1818181818182,0.00537109375,14.53471782100817,JP-01,cases,original
4,120.47058823529412,0.00830078125,9.567845081123393,JP-01,cases,original
5,3.500854700854701,0.28564453125,6.319623278803886,JP-01,cases,original
1,341.3333333333333,0.0029296875,1034.7237993048607,JP-01,cases,annual
1,186.1818181818182,0.00537109375,982.6178997412808,JP-01,cases,semiannual
1,120.47058823529412,0.00830078125,249.11281185923116,JP-01,cases,seasonal_subannual
2,93.0909090909091,0.0107421875,147.19765203752547,JP-01,cases,seasonal_subannual
3,73.14285714285714,0.013671875,128.30194208383884,JP-01,cases,seasonal_subannual
4,45.51111111111111,0.02197265625,78.51521040558029,JP-01,cases,seasonal_subannual
5,102.4,0.009765625,55.91170598984563,JP-01,cases,seasonal_subannual
1,13.38562091503268,0.07470703125,31.67146058187842,JP-01,cases,subseasonal
2,10.835978835978835,0.09228515625,30.154712036383128,JP-01,cases,subseasonal
3,10.343434343434344,0.0966796875,30.036272512812765,JP-01,cases,subseasonal
4,17.655172413793103,0.056640625,29.54377380945055,JP-01,cases,subseasonal
5,10.556701030927835,0.0947265625,23.59165064914185,JP-01,cases,subseasonal
1,6.989761092150171,0.14306640625,70.17068081351908,JP-01,cases,high_frequency
2,3.500854700854701,0.28564453125,20.627094922053566,JP-01,cases,high_frequency
3,2.5825977301387137,0.38720703125,15.818193356324302,JP-01,cases,high_frequency
4,2.34324942791762,0.4267578125,9.840309043687647,JP-01,cases,high_frequency
5,2.8563458856345885,0.35009765625,9.502261949770077,JP-01,cases,high_frequency
1,2.295964125560538,0.435546875,17.142488532677678,JP-01,cases,noise
2,2.011787819253438,0.4970703125,16.76378583358315,JP-01,cases,noise
3,2.7601078167115904,0.3623046875,14.952859869624731,JP-01,cases,noise
4,6.059171597633136,0.1650390625,14.649155350130805,JP-01,cases,noise
5,3.2456418383518226,0.30810546875,13.136418105721823,JP-01,cases,noise
