target_variable,frequency_band,model_name,split,selected_alpha,n_observations,mae,rmse,nrmse_std,r2,pearson_correlation
cases,trend,ridge,train,0.01,201618,0.3484195839860736,0.5640275095929095,0.14590853384585245,0.9787106997509537,0.9892980851072645
cases,trend,ridge,validation,0.01,16790,0.5742823193926959,0.7940544610309367,0.17415107705593955,0.9696714023602562,0.991988461016541
cases,trend,prefecture_mean_baseline,validation,,16790,0.5654583407502833,0.9888106853724833,0.21686477982689736,0.9529696672706314,0.9972545858712895
cases,trend,ridge,test,0.01,33580,0.7514930745466595,0.9540978979241452,0.20474784651585728,0.958078319347119,0.9858259764532324
cases,trend,prefecture_mean_baseline,test,,33580,0.5855334829133197,1.0408078341016864,0.22335565682809683,0.9501122505628894,0.9967163631380296
cases,interannual,ridge,train,1000.0,179703,0.13042490181775784,0.3900660741587427,0.9920388029130756,0.01585901351479191,0.12626720184091592
cases,interannual,ridge,validation,1000.0,14965,0.12854509713608503,0.2999411033204235,1.0468514746430417,-0.09589800996231124,-0.24939980707405424
cases,interannual,prefecture_mean_baseline,validation,,14965,0.1252096958930547,0.30984751626468715,1.0814267392010526,-0.16948379225902155,-0.8554058136033532
cases,interannual,ridge,test,1000.0,29930,0.163530486128908,0.46397833408300704,0.9988832208198837,0.002232311164495626,0.08360889987741481
cases,interannual,prefecture_mean_baseline,test,,29930,0.15136238198985874,0.4678879256042263,1.007300047822213,-0.014653386342632357,-0.2346222598269925
cases,annual,ridge,train,0.01,200712,0.5304933319261665,0.8079898186223861,0.6527862910077997,0.5738700582722802,0.757542116500909
cases,annual,ridge,validation,0.01,16790,0.6186486815515775,0.9860862942966067,0.670485787407436,0.5504488088846305,0.7448116968282521
cases,annual,prefecture_mean_baseline,validation,,16790,0.955935163399203,1.4707351509419617,1.0000210138307657,-4.2028103112379256e-05,-0.003826551340135464
cases,annual,ridge,test,0.01,33580,0.6706199403088898,1.0721464825786122,0.7057594863520228,0.5019035474241291,0.7103472208837428
cases,annual,prefecture_mean_baseline,test,,33580,0.9695994096282194,1.5194713990010087,1.0002190666207889,-0.00043818123176198043,-0.008119285601194464
cases,semiannual,ridge,train,0.01,200269,0.1792069499868781,0.2863270469744203,0.7834474288335589,0.38621012625408546,0.6214580647590702
cases,semiannual,ridge,validation,0.01,16790,0.21327202823375152,0.3504264567667955,0.7602599610448941,0.422004791632016,0.6665991246163363
cases,semiannual,prefecture_mean_baseline,validation,,16790,0.2843448032277504,0.4611387261102576,1.0004533138951512,-0.0009068332837902648,-0.031025769009670398
cases,semiannual,ridge,test,0.01,33580,0.2619967041075097,0.4307658047680866,0.7966078470654644,0.3654159379937256,0.6087095299667341
cases,semiannual,prefecture_mean_baseline,test,,33580,0.32197622717811225,0.5407491736046712,0.9999982129954794,3.574005847495343e-06,0.011394218675645563
cases,seasonal_subannual,ridge,train,1000.0,200324,0.21382893285603002,0.34607415151465837,0.979493979688646,0.040591543753698334,0.20147766150732255
cases,seasonal_subannual,ridge,validation,1000.0,16790,0.2583364224215883,0.4141413345627778,1.0139194278779118,-0.02803260622827186,0.021343910535697928
cases,seasonal_subannual,prefecture_mean_baseline,validation,,16790,0.2516223225319119,0.4086666322847561,1.0005160157133328,-0.0010322976988819121,-0.017173995807336036
cases,seasonal_subannual,ridge,test,1000.0,33580,0.2934907539198638,0.4818404783955102,0.9932165884006164,0.013520808525840589,0.11766137688693928
cases,seasonal_subannual,prefecture_mean_baseline,test,,33580,0.2918493318249894,0.4851362891304919,1.0000102349309223,-2.0469966598879452e-05,0.011842414893384933
