group,components,number_of_components,dominant_period_days,dominant_frequency_cycles_per_day,dominant_power,frequency_label,group_variance
baseline,1,1,5478.0,0.00018254837531945966,0.015499934662728913,trend_or_low_frequency,0.11057404816604267
annual_primary,"2,3",2,365.2,0.002738225629791895,61.75330364397845,annual,60.35532602457129
semiannual,"4,5",2,182.6,0.00547645125958379,0.3343735967147902,semiannual,0.38606958583827017
seasonal_121d,"6,7",2,121.73333333333333,0.008214676889375685,0.1128115124269115,seasonal_subannual,0.12353603087814653
annual_secondary_322d,"8,9",2,322.235294117647,0.0031033223804308144,0.07180658544516835,annual,0.08138643779094232
seasonal_71d,"10,11",2,71.14285714285714,0.014056224899598393,0.07320782129847997,seasonal_subannual,0.06793344497137149
seasonal_100d,"12,13",2,99.6,0.010040160642570281,0.05184127697933816,seasonal_subannual,0.058056844234164885
